,Lambda,Perist,speed,persistance,global_order,lcl_order
0,2000,0.4,0.4001791834889354,0.0,0.4001791834889354,
1,5000,0.9,0.39190714603688637,0.0,0.39190714603688637,
2,2000,0.7,0.4497089616909172,0.0,0.4497089616909172,
3,3000,0.8,0.4569570193283918,0.0,0.4569570193283918,
4,500,1,6.800859380716959,0.0,6.800859380716959,
5,750,0.7,0.3753571160269051,0.0,0.3753571160269051,
6,2000,0.2,0.3168863863808698,0.0,0.3168863863808698,
7,500,0.01,0.4786417246202999,0.0,0.4786417246202999,
8,1000,0.2,0.41762127223054635,0.0,0.41762127223054635,
9,2000,0.1,3.93742773538409,0.0,3.93742773538409,
10,3000,1,0.35676535853673147,0.0,0.35676535853673147,
11,2000,1,1.8273836204407958,0.0,1.8273836204407958,
12,5000,0.5,0.33307291589838234,0.0,0.33307291589838234,
13,3000,0.3,0.29383252324533127,0.0,0.29383252324533127,
14,500,0.8,0.3514284267426633,0.0,0.3514284267426633,
15,500,0.9,0.43455776901242926,0.0,0.43455776901242926,
16,750,0.2,0.3105942053886972,0.0,0.3105942053886972,
17,2000,0.3,0.3221274718164784,0.0,0.3221274718164784,
18,5000,0.7,0.4704397796685282,0.0,0.4704397796685282,
19,750,0.6,0.5116243508899916,0.0,0.5116243508899916,
20,4000,0.8,9.189198935563443,0.0,9.189198935563443,
21,2000,0.6,3.4208177828999213,0.0,3.4208177828999213,
22,500,0.4,6.925671598650631,0.0,6.925671598650631,
23,4000,0.6,0.36879367754074543,0.0,0.36879367754074543,
24,4000,0.2,0.89986305908092,0.0,0.89986305908092,
25,750,0.3,0.5311330152452789,0.0,0.5311330152452789,
26,5000,1,0.37427946804651996,0.0,0.37427946804651996,
27,500,0.5,0.38171548063202565,0.0,0.38171548063202565,
28,1000,1,0.4614000188574556,0.0,0.4614000188574556,
29,3000,0.1,0.546021519118378,0.0,0.546021519118378,
30,500,0.6,5.180286237501215,0.0,5.180286237501215,
31,5000,0.8,0.3981364696182249,0.0,0.3981364696182249,
32,750,1,1.994443095646723,0.0,1.994443095646723,
33,1000,0.8,0.704701851120404,0.0,0.704701851120404,
34,4000,1,0.3274678050204138,0.0,0.3274678050204138,
35,3000,0.7,0.3438549101349465,0.0,0.3438549101349465,
36,3000,0.2,3.669721063026686,0.0,3.669721063026686,
37,4000,0.4,0.6153959551455996,0.0,0.6153959551455996,
38,500,0.7,3.4499115516949113,0.0,3.4499115516949113,
39,5000,0.4,8.565059052447936,0.0,8.565059052447936,
40,5000,0.6,0.3978500837726861,0.0,0.3978500837726861,
41,2000,0.5,0.5361776348312006,0.0,0.5361776348312006,
42,3000,0.6,0.6663225265610576,0.0,0.6663225265610576,
43,5000,0.1,0.4637023247828456,0.0,0.4637023247828456,
44,1000,0.6,0.3567891037483059,0.0,0.3567891037483059,
45,4000,0.9,0.43770187476148176,0.0,0.43770187476148176,
46,5000,0.2,0.3764901810682957,0.0,0.3764901810682957,
47,3000,0.9,1.2000233539796048,0.0,1.2000233539796048,
48,2000,0.9,0.43821433650766284,0.0,0.43821433650766284,
49,1000,0.5,0.3614007533518452,0.0,0.3614007533518452,
50,3000,0.4,3.7645325769459497,0.0,3.7645325769459497,
51,3000,0.5,0.34346170775339946,0.0,0.34346170775339946,
52,1000,0.3,0.675401403211128,0.0,0.675401403211128,
53,750,0.9,0.3436283045133664,0.0,0.3436283045133664,
54,750,0.1,0.3782197742387287,0.0,0.3782197742387287,
55,4000,0.1,0.37322974361388284,0.0,0.37322974361388284,
56,4000,0.3,0.39312036516861215,0.0,0.39312036516861215,
57,1000,0.9,0.42707912584260815,0.0,0.42707912584260815,
58,4000,0.5,0.3905542028095972,0.0,0.3905542028095972,
59,750,0.4,0.340949766786938,0.0,0.340949766786938,
60,2000,0.8,0.31549738005967615,0.0,0.31549738005967615,
61,4000,0.7,0.33094446110608894,0.0,0.33094446110608894,
62,500,0.2,0.37127553205474784,0.0,0.37127553205474784,
63,1000,0.1,2.9563339149897083,0.0,2.9563339149897083,
64,5000,0.3,0.4318288403742559,0.0,0.4318288403742559,
65,500,0.3,3.1115709134931397,0.0,3.1115709134931397,
66,1000,0.7,2.0034946479682483,0.0,2.0034946479682483,
67,750,0.5,0.34690357783509523,0.0,0.34690357783509523,
68,1000,0.4,0.3569417237453159,0.0,0.3569417237453159,
69,750,0.8,0.514770888054172,0.0,0.514770888054172,
