,Lambda,Max_act,speed,persistance,global_order,lcl_order
0,2900.0,0.85,0.7498065429453411,3.995182230792943,3.0582026020714497,1.9132232615340676
1,2700.0,0.94,0.7947047547346592,6.895045733828397,3.372578508511182,1.2656822130506469
2,2200.0,0.8999999999999999,0.8673911319260565,15.299376215431007,3.1680045270633346,1.9477303377664963
3,2400.0,0.94,0.6792239810175043,4.92566454817797,3.1148257504435266,1.4359094851870295
4,2500.0,0.85,0.7581151780444834,5.782339693128524,3.1325695888687193,1.563201876015616
5,2400.0,0.85,0.7598066123839187,2.7565143357857886,3.4211781010785343,1.637474425926595
6,2500.0,0.9099999999999999,0.6923822916813623,10.860589610269173,3.2014641648530713,1.6242448428538636
7,2500.0,0.86,0.7210264225806964,4.267378808628489,2.546570491129876,1.7491713677727745
8,2600.0,0.8999999999999999,0.7588437161294355,13.00661263692077,2.842736650696497,1.511836650423229
9,2100.0,0.89,0.6964392164632602,10.053157860223985,3.0513467727733867,1.26856496790171
10,2800.0,0.86,0.7952896136263049,7.888718068854104,3.0347964114771275,1.8814562658332634
11,3000.0,0.8999999999999999,0.7150496179049005,14.51426708050912,2.5521988705884158,1.5498124590026834
12,3000.0,0.88,0.6563170679128224,6.046471488669756,3.1201684943627273,1.911682487544351
13,2500.0,0.9199999999999999,0.7819178700356598,14.773087556989527,3.2898888809097815,1.3589999857988058
14,3000.0,0.95,0.8329189618105524,,2.836980190048512,1.574474357654062
15,3000.0,0.94,0.7892476733642839,,3.1958179756545193,1.4241961600432063
16,2400.0,0.95,0.9613553168803962,0.0,2.8376940545933538,1.5296293390651594
17,2800.0,0.9099999999999999,0.9254412132777214,16.625571717814086,3.133968011716495,1.7322379310620277
18,2300.0,0.8999999999999999,0.9053020008837022,13.74731239937854,3.521846939800225,1.64738688611613
19,2000.0,0.9099999999999999,1.0062701483046876,21.84330747326881,3.5990646857324715,2.217515652061472
20,2000.0,0.88,0.7825800398219789,19.586355327117158,3.5717819225412097,1.5740406947977699
21,3000.0,0.85,0.7037741266323569,14.930901837639787,2.8058049538893046,1.7775271473369907
22,2700.0,0.88,0.6199130794944172,21.757832290636607,3.182421685426245,1.6647987660671806
23,2200.0,0.9099999999999999,0.7165119630619882,18.63509851736527,2.9600802379072566,1.4827761685534424
24,2100.0,0.8999999999999999,0.9833166535880637,20.234565000247766,3.299996168201577,1.7187585928441391
25,2400.0,0.87,0.7091702349459783,11.219647584852924,2.6257435384826833,1.6045576816881164
26,2700.0,0.9099999999999999,0.9214120936033597,19.5803497963676,3.1047729256707317,1.7780531221103368
27,2600.0,0.86,0.7730244272359554,4.105246800512776,3.1385497825562174,1.6943141132317152
28,2100.0,0.94,0.6795846999183127,8.234731470915984,2.5198466281755705,1.4987804886606668
29,2700.0,0.8999999999999999,0.779923086411851,12.208227592487813,2.896679814509656,1.4203078636291933
30,2100.0,0.9199999999999999,0.7447385017615684,15.335559995833561,3.0591118512290576,1.890214520561092
31,2000.0,0.85,0.905169875390705,4.478898466844749,3.6437260534245457,1.5354170543171068
32,2000.0,0.8999999999999999,1.0174115872224778,8.291396377878936,3.278014743697147,1.9947907136499599
33,2300.0,0.9099999999999999,0.7436088769912086,18.423831732919407,2.774595563859404,2.0603922181825234
34,2300.0,0.86,0.8734847689176255,8.82058082871367,3.7025327141114133,1.9314849692799099
35,2400.0,0.9199999999999999,0.8815603447349728,18.33862580565435,3.634764533175009,1.9457661256318284
36,2900.0,0.89,0.8585329868946361,7.72016317458414,2.7211971526935934,2.165157425880275
37,2100.0,0.87,0.76047021258979,5.938956094188497,3.103625706964682,1.6487725580082824
38,2900.0,0.86,0.7245058034016919,3.2305067352048,2.9756872963056136,1.9775432350261677
39,2500.0,0.9299999999999999,0.6340584118288679,8.061455686597613,3.1145156531969094,1.7584917817375665
40,2900.0,0.87,0.8557922340600412,16.15109186972955,3.3615890896924627,1.3853565500993632
41,2800.0,0.89,0.9611617255447459,9.93845302542573,3.406128930192578,1.5641033040274064
42,2000.0,0.9199999999999999,0.9013382006902929,16.481772710250464,3.571580969176022,1.8280579580027856
43,2800.0,0.9299999999999999,0.6539965777017356,9.614412470853242,3.2007673018033977,1.4979431602103808
44,2000.0,0.95,0.7405933937513709,3.445735531250314,2.623111611087713,1.5575216752116892
45,2500.0,0.8999999999999999,0.8178293711716382,11.332894893085522,4.42054457004728,1.8058901345253306
46,2400.0,0.8999999999999999,0.6744613213493098,10.26368752824504,3.082149163314945,1.981889719856987
47,2000.0,0.94,0.8218538841174675,2.0763642859090687,2.604078737844713,1.7838001615604695
48,2600.0,0.88,0.6258038445686405,6.235438708612693,3.05674777304651,1.6958167479937234
