,cell_type,experiment,speed,persistance,order,order_t,local_order
0,cd4,exp090814,2.031867196796789,19.096393777687304,201.9935453732458,15.769745444917879,4.0857877585133195
1,cd4,exp090814,2.7811241620585796,12.883711597275772,537.8919329846595,21.989994214290082,4.972042924136518
2,cd8,exp090814,2.347424593480345,8.179842723072051,251.02307579282476,14.097144066275863,4.383176597172405
3,cd8,exp090929,2.142296235500332,12.383886578168173,280.78521467528526,13.408530193350009,4.731129136036399
4,cd8,exp090814,3.7912091843206355,7.505800588781934,136.68843713074358,16.127611106953687,6.772647337679341
5,cd8,exp090929,1.7846133072576253,17.355682207590732,247.63121117864102,12.88965993812934,3.3649019881732696
6,cd4,exp101210,3.903978994815252,12.026242632532307,138.85222062428613,15.157344002608623,7.193640220681872
7,cd8,exp101210,4.415099529492019,8.221146099793103,1106.7826544284076,35.19188390935686,8.587819309232302
8,cd8,exp101208,1.76314281607072,16.220980744302878,1645.8941224225794,43.192218419080724,5.721283054364632
9,cd4,exp101208,2.1813066752614234,13.706383876947374,989.9565068706113,37.089956511097505,6.732254582664496
10,cd4,exp090929,1.6828629520139047,4.5083502650902,167.2655798151765,8.9089037820376,3.900628859414804
11,cd4,exp090929,1.4055293441217371,13.134158299961953,63.29116653957925,6.491535589707415,
12,cd8,exp101210,3.8620906477308616,9.921323012618496,114.96286851911974,18.886944902794262,6.858177676831653
13,cd8,exp090814,4.062445492471343,6.91342511096434,381.2895306714356,16.18978505100417,11.004424586062743
14,cd4,exp101210,2.462084530688084,10.597168808612182,699.320159852848,24.495310285944992,4.553671829320663
15,cd4,exp090814,2.4255844112490563,9.52611940883627,183.85853598715764,17.4801328820122,3.786445127042834
16,cd4,exp090814,1.7330714052505,20.924807437921814,496.16734274488743,22.755520442698014,4.000569572091257
17,cd8,exp090814,1.5150539622809456,25.31287982381399,78.16695389229002,7.136405587976574,2.4369682375233976
