,WS.pkl,power.pkl
70,"(4.840936923288726, -0.6199080519213283)","(2.0346921549017774, 0.5698982194204671)"
71,"(5.835797273501652, -0.509384544770163)","(2.458751011224595, 0.5286458673680264)"
72,"(6.245095001768876, -0.4358014935899498)","(3.3513780649847185, 0.45356478814671747)"
73,"(6.528138888763445, -0.3505445393296092)","(3.88772927610096, 0.39721247053962666)"
74,"(6.452985727353651, -0.23302010038779217)","(4.266764393674783, 0.3515482937030455)"
75,"(6.0215438274420965, -0.06095352667902891)","(5.145706390975918, 0.2732789886139138)"
76,"(4.943523029655554, 0.13181667849804057)","(6.008445814008222, 0.17980089759866122)"
77,"(2.833718840727772, 0.4233905475984135)","(6.716845945393271, 0.10044660399485601)"
78,"(1.2633669741586857, 0.6078200938612361)","(7.784595857979484, -0.013929896007760834)"
79,"(0.6627589612575654, 0.6737985971315322)","(8.260362269772456, -0.10678287648968607)"
80,"(5.298297685847878, -0.6673048495294372)","(2.1746138807587876, 0.6224349483159906)"
81,"(6.341557921226299, -0.5683208470648937)","(3.3658871136996114, 0.5346885680413612)"
82,"(6.800895186504553, -0.5050851584154685)","(5.050399730353387, 0.41301768671153616)"
83,"(7.323083681849781, -0.38081542074827485)","(5.671052295279376, 0.3654514311178413)"
84,"(7.558142969628584, -0.2283533138813807)","(7.279455426097411, 0.2505603023551152)"
85,"(7.103294728008184, -0.06754123653182756)","(8.569267690355275, 0.1537499062318164)"
86,"(5.9023621771957995, 0.13416784600507367)","(9.351173487599485, 0.06409661325527165)"
87,"(3.588561650303909, 0.4040855531693624)","(10.523106631457754, -0.030665298206316628)"
88,"(1.3268188312151146, 0.6236082826610228)","(11.887392014270324, -0.16637769534503138)"
89,"(0.6980355332246674, 0.6804327151175674)","(12.414489413269784, -0.2757669385965256)"
90,"(3.985725726711351, -0.7360478110153548)","(2.2381176228781046, 0.5943021803015232)"
91,"(4.3012927987786576, -0.6881695880938831)","(4.344177196936903, 0.4357493266926701)"
