,time,center,order,type,iter
0,0,0,3.9778635908132003,WS,1
1,0,1,7.872420634920644,WS,1
2,0,2,2.8331252820151605,WS,1
3,0,3,13.88703611814146,WS,1
4,0,4,1.3428571428571416,WS,1
5,0,5,1.3669064748201123,WS,1
6,0,6,0.0,WS,1
7,0,7,1.2291698110180604,WS,1
8,0,8,3.1127098321343,WS,1
9,0,9,19.25145238917615,WS,1
10,1,0,8.393558822130245,WS,1
11,1,1,8.613583452524999,WS,1
12,1,2,0.0,WS,1
13,1,3,7.5333139083139145,WS,1
14,1,4,8.810276205530286,WS,1
15,1,5,1.5310244363945813,WS,1
16,1,6,0.0,WS,1
17,1,7,5.810493833753817,WS,1
18,1,8,3.4929188228364296,WS,1
19,1,9,1.661689661689671,WS,1
20,2,0,6.258741258741267,WS,1
21,2,1,0.0,WS,1
22,2,2,0.0,WS,1
23,2,3,4.97270268891269,WS,1
24,2,4,0.6021121735407462,WS,1
25,2,5,0.1618480725623641,WS,1
26,2,6,0.0,WS,1
27,2,7,3.234436755211398,WS,1
28,2,8,0.0,WS,1
29,2,9,2.410722467188009,WS,1
30,3,0,3.315011777968728,WS,1
31,3,1,3.9104863221884614,WS,1
32,3,2,0.0,WS,1
33,3,3,7.153630981514915,WS,1
34,3,4,0.0,WS,1
35,3,5,0.8742751849943318,WS,1
36,3,6,0.0,WS,1
37,3,7,8.92825257296338,WS,1
38,3,8,0.0,WS,1
39,3,9,2.620583141509435,WS,1
40,4,0,4.772774522774526,WS,1
41,4,1,0.4700473292765466,WS,1
42,4,2,0.0,WS,1
43,4,3,0.0,WS,1
44,4,4,9.22767056897466,WS,1
45,4,5,3.234985156428422,WS,1
46,4,6,0.0,WS,1
47,4,7,5.241510025062652,WS,1
48,4,8,0.0,WS,1
49,4,9,7.606794294294296,WS,1
50,5,0,6.06152591050369,WS,1
51,5,1,1.7465753424657606,WS,1
52,5,2,7.834346091057512,WS,1
53,5,3,4.175064661366029,WS,1
54,5,4,3.4538775510203976,WS,1
55,5,5,2.4959610604805107,WS,1
56,5,6,0.0,WS,1
57,5,7,3.8655179615706032,WS,1
58,5,8,1.5587419056429326,WS,1
59,5,9,6.630344827586235,WS,1
60,6,0,4.152475845410592,WS,1
61,6,1,4.512212643678197,WS,1
62,6,2,9.558620689655186,WS,1
63,6,3,10.998583361083398,WS,1
64,6,4,5.595123955622505,WS,1
65,6,5,7.629145081257249,WS,1
66,6,6,0.0,WS,1
67,6,7,9.893858235604242,WS,1
68,6,8,4.066520467836263,WS,1
69,6,9,12.038483105880694,WS,1
70,7,0,1.370858506641838,WS,1
71,7,1,0.0,WS,1
72,7,2,0.6574547258744516,WS,1
73,7,3,7.414098173515967,WS,1
74,7,4,3.9479862424779526,WS,1
75,7,5,0.849590879838189,WS,1
76,7,6,0.0,WS,1
77,7,7,18.498708790741738,WS,1
78,7,8,1.7308294209702666,WS,1
79,7,9,11.740170230771739,WS,1
80,8,0,5.815357900829611,WS,1
81,8,1,0.5386480186480185,WS,1
82,8,2,3.714878097521982,WS,1
83,8,3,7.397245251568187,WS,1
84,8,4,1.9188398849472463,WS,1
85,8,5,0.8581081081080839,WS,1
86,8,6,0.0,WS,1
87,8,7,2.3534197462768844,WS,1
88,8,8,0.0,WS,1
89,8,9,9.284668351782443,WS,1
90,9,0,1.8262086513994973,WS,1
91,9,1,4.343822843822863,WS,1
92,9,2,0.400407256571647,WS,1
93,9,3,0.0,WS,1
94,9,4,1.6373792270531737,WS,1
95,9,5,2.82463054187194,WS,1
96,9,6,0.0,WS,1
97,9,7,0.0,WS,1
98,9,8,0.6085333585333572,WS,1
99,9,9,16.82570489953043,WS,1
100,10,0,6.248300994779882,WS,1
101,10,1,0.0,WS,1
102,10,2,0.0,WS,1
103,10,3,0.0,WS,1
104,10,4,3.7171052631579187,WS,1
105,10,5,3.816190476190471,WS,1
106,10,6,0.0,WS,1
107,10,7,3.6303188617737874,WS,1
108,10,8,13.300999301553531,WS,1
109,10,9,0.0,WS,1
110,11,0,7.100518326545739,WS,1
111,11,1,0.0,WS,1
112,11,2,5.718045112781958,WS,1
113,11,3,0.0,WS,1
114,11,4,5.348538404688554,WS,1
115,11,5,0.0,WS,1
116,11,6,0.0,WS,1
117,11,7,11.884993968823991,WS,1
118,11,8,1.6710514541387056,WS,1
119,11,9,4.181828085848149,WS,1
120,12,0,1.7391281797830658,WS,1
121,12,1,0.0,WS,1
122,12,2,0.0,WS,1
123,12,3,5.782424948994461,WS,1
124,12,4,1.5974897001053918,WS,1
125,12,5,7.129251700680278,WS,1
126,12,6,0.0,WS,1
127,12,7,1.9317683881064198,WS,1
128,12,8,3.164567435873863,WS,1
129,12,9,4.440863725398756,WS,1
130,13,0,0.0,WS,1
131,13,1,1.1785714285714306,WS,1
132,13,2,0.5933518536258617,WS,1
