,time,center,coords,radius,order,type,iter,n_cells,speed
61,2,19,"[23, 6, 6]",6,12.644765852154649,GM,2,12.0,2.380428440840267
62,2,20,"[8, 59, 6]",6,0.45676429766210447,GM,2,12.0,2.2422040202740816
63,3,0,"[53, 12, 35]",12,5.451355978320073,GM,2,9.0,2.005799179058816
64,3,1,"[14, 44, 46]",12,9.485928936721962,GM,2,12.0,2.1600817656324387
65,3,2,"[35, 20, 41]",9,31.660287243411695,GM,2,15.0,2.7477458173326097
66,3,3,"[51, 51, 15]",8,4.253455331904441,GM,2,6.0,1.9975863671191416
67,3,4,"[56, 25, 20]",8,21.600211741719868,GM,2,15.0,2.254761005226061
68,3,5,"[26, 48, 18]",8,23.683778907005582,GM,2,15.0,2.9396175184452984
69,3,6,"[28, 49, 40]",7,18.47125038093725,GM,2,9.0,2.052361153437472
70,3,7,"[57, 54, 31]",7,28.49662064493843,GM,2,15.0,2.38149299084536
71,3,8,"[8, 20, 57]",7,14.013958119410283,GM,2,15.0,2.1423842778047804
72,3,9,"[7, 37, 58]",7,12.870965678927341,GM,2,12.0,2.425055861422535
73,3,10,"[48, 7, 10]",7,4.610806711337325,GM,2,12.0,2.0847949367334397
74,3,11,"[58, 58, 56]",7,10.974321381983493,GM,2,15.0,2.3844608284900106
75,3,12,"[7, 7, 58]",7,0.8838707579762541,GM,2,9.0,2.2144546939649024
76,3,13,"[20, 7, 29]",6,10.514048969566943,GM,2,9.0,2.390186393368803
77,3,14,"[58, 7, 52]",6,12.482749676034786,GM,2,9.0,2.424276238337689
78,3,15,"[30, 58, 11]",6,9.79834460678827,GM,2,9.0,1.981782126294998
79,3,16,"[41, 24, 29]",6,3.98602604261508,GM,2,9.0,2.442416165384055
80,3,17,"[6, 6, 22]",6,6.837713025890373,GM,2,6.0,2.0603361717647446
81,3,18,"[14, 38, 6]",6,4.738001512716721,GM,2,9.0,1.7070492025583297
82,3,19,"[23, 6, 6]",6,13.76205831952987,GM,2,9.0,2.2561245678086013
83,3,20,"[8, 59, 6]",6,15.547406570981337,GM,2,12.0,2.3167129844793877
84,4,0,"[53, 12, 35]",12,10.392127666084335,GM,2,12.0,2.1938897822148262
85,4,1,"[14, 44, 46]",12,5.677411883038921,GM,2,9.0,2.3676133398464563
86,4,2,"[35, 20, 41]",9,12.282351204826362,GM,2,12.0,2.1269963961721596
87,4,3,"[51, 51, 15]",8,0.6553248445679429,GM,2,9.0,2.108732698286504
88,4,4,"[56, 25, 20]",8,5.3039541241425,GM,2,9.0,2.192712998850686
89,4,5,"[26, 48, 18]",8,11.33943504404919,GM,2,9.0,2.0404590600901864
90,4,6,"[28, 49, 40]",7,7.027313053911882,GM,2,9.0,3.6573286485049814
91,4,7,"[57, 54, 31]",7,15.15881535393563,GM,2,18.0,2.233056862697468
92,4,8,"[8, 20, 57]",7,12.49945359086405,GM,2,12.0,2.34320951741307
93,4,9,"[7, 37, 58]",7,3.57592916839657,GM,2,12.0,2.240542905697032
94,4,10,"[48, 7, 10]",7,6.3346689250434025,GM,2,9.0,4.435326119396574
95,4,11,"[58, 58, 56]",7,1.3034817568158488,GM,2,6.0,2.3604082914762103
96,4,12,"[7, 7, 58]",7,10.756198212150096,GM,2,9.0,2.012595027761334
97,4,13,"[20, 7, 29]",6,9.675875478982178,GM,2,9.0,2.2496984805064324
98,4,14,"[58, 7, 52]",6,11.363539247814117,GM,2,6.0,2.2097191363477293
99,4,15,"[30, 58, 11]",6,12.641164015783161,GM,2,12.0,2.3327960791521662
100,4,16,"[41, 24, 29]",6,8.99507888076841,GM,2,15.0,2.646891827132711
101,4,17,"[6, 6, 22]",6,11.646751672052893,GM,2,15.0,2.1797733471270577
102,4,18,"[14, 38, 6]",6,2.060423895184215,GM,2,12.0,2.5359537623786657
103,4,19,"[23, 6, 6]",6,2.052719068527196,GM,2,9.0,2.228160497788756
104,4,20,"[8, 59, 6]",6,13.654998802405402,GM,2,12.0,2.17027609890129
105,5,0,"[53, 12, 35]",12,2.701705981490761,GM,2,9.0,2.4419611555112635
106,5,1,"[14, 44, 46]",12,10.968765634507562,GM,2,9.0,2.3439488103109323
107,5,2,"[35, 20, 41]",9,2.942555019011621,GM,2,9.0,1.7063636509513143
108,5,3,"[51, 51, 15]",8,1.8224086598054967,GM,2,12.0,4.327150528767818
109,5,4,"[56, 25, 20]",8,3.0595402914646144,GM,2,12.0,2.412207082463658
110,5,5,"[26, 48, 18]",8,12.384355420618704,GM,2,12.0,1.912897682780411
111,5,6,"[28, 49, 40]",7,3.088359345404889,GM,2,12.0,2.211237782672681
112,5,7,"[57, 54, 31]",7,4.404125182000826,GM,2,9.0,2.507400242368072
113,5,8,"[8, 20, 57]",7,0.794121198116251,GM,2,12.0,2.1826440821413686
114,5,9,"[7, 37, 58]",7,7.409037991289381,GM,2,9.0,3.0694388734580147
115,5,10,"[48, 7, 10]",7,5.789614957423183,GM,2,3.0,2.119369369369371
116,5,11,"[58, 58, 56]",7,9.92015465291395,GM,2,9.0,2.5689525868782237
117,5,12,"[7, 7, 58]",7,11.74324468738294,GM,2,12.0,2.602244691917728
118,5,13,"[20, 7, 29]",6,1.6562921024086066,GM,2,15.0,2.2442113342003265
119,5,14,"[58, 7, 52]",6,16.8140136054422,GM,2,6.0,2.8023356009070333
120,5,15,"[30, 58, 11]",6,0.33738627889638906,GM,2,9.0,2.176237882177481
121,5,16,"[41, 24, 29]",6,0.055266509924273066,GM,2,15.0,2.4141552669558997
122,5,17,"[6, 6, 22]",6,1.893795803466034,GM,2,12.0,2.3706042709003214
123,5,18,"[14, 38, 6]",6,1.3967380481106204,GM,2,9.0,2.3725170594332496
124,5,19,"[23, 6, 6]",6,8.681935383659507,GM,2,6.0,2.431013254633951
125,5,20,"[8, 59, 6]",6,13.179992299108207,GM,2,12.0,2.7287586546730664
126,6,0,"[53, 12, 35]",12,7.976338120479056,GM,2,9.0,2.37667024264321
127,6,1,"[14, 44, 46]",12,2.959460373677473,GM,2,9.0,2.271363004427899
128,6,2,"[35, 20, 41]",9,24.01628480888754,GM,2,9.0,2.6684760898763935
129,6,3,"[51, 51, 15]",8,13.179665541416732,GM,2,15.0,2.085200886256317
130,6,4,"[56, 25, 20]",8,1.6391369514916505,GM,2,12.0,2.145009626754676
131,6,5,"[26, 48, 18]",8,13.615405193835024,GM,2,12.0,1.759512017289697
132,6,6,"[28, 49, 40]",7,0.6786245569988978,GM,2,9.0,2.5242574805628997
133,6,7,"[57, 54, 31]",7,8.362766087836292,GM,2,9.0,1.7888642219986493
134,6,8,"[8, 20, 57]",7,5.283201641403046,GM,2,9.0,2.674250933118141
135,6,9,"[7, 37, 58]",7,10.643655504116587,GM,2,12.0,2.4962176250556136
136,6,10,"[48, 7, 10]",7,13.75626962143155,GM,2,9.0,2.328535852894459
137,6,11,"[58, 58, 56]",7,16.221582851889437,GM,2,12.0,2.3128940150571764
138,6,12,"[7, 7, 58]",7,17.589313458106545,GM,2,9.0,2.236649099465189
139,6,13,"[20, 7, 29]",6,1.9776365319225135,GM,2,6.0,1.623291618371373
140,6,14,"[58, 7, 52]",6,35.71671242358301,GM,2,15.0,2.3811141615722007
141,6,15,"[30, 58, 11]",6,12.419739198085502,GM,2,12.0,2.19584203854369
142,6,16,"[41, 24, 29]",6,2.792677148273924,GM,2,9.0,2.121562683258023
