,type,iter,pooled_persist,global_order,std_glbl_order,lcl_order,std_lcl
0,GM,4,1.5798270942993473,0.3343168824231736,7.854907410001268,2.2502441621526796,1.016478983643304
1,ER,1,1.1198991646406344,0.08245410112523593,7.860447782621484,1.3866615091007628,0.6231014448545329
2,BA,0,1.2275315436624452,0.15331240998932033,7.867969392928034,1.6678144178482535,0.8085606135863401
3,WS,3,1.7534550501014228,0.3520616593528706,7.936661744397936,2.3696020500915966,0.9143771870342806
4,BA,2,1.214248847902138,0.10835358783921359,7.89320299830529,1.6305153312242464,0.8101024660199843
5,OFRC,3,100.0,0.8659989538836962,7.3772433498887375,4.320865085018258,0.7008362233564724
6,BA,3,1.207349286529994,0.16215274488068745,7.861267167207141,1.630644354538301,0.772681641911141
7,WS,0,1.7080043382416463,0.27883066953544233,7.90329080864051,2.3074814611877974,0.8800766542676198
8,BA,1,1.1942915122685376,0.09083268032504868,7.952305351187465,1.5845349067018915,0.762970501088697
9,ER,3,1.1382096101790582,0.10418507832725346,7.821741647441038,1.4317295737748894,0.6439460923047935
10,PW,0,1.249786571751657,0.19151021876593521,7.838462927830897,1.6758259857567357,0.7464465735921509
11,PW,2,1.248565744233246,0.12764945352423418,7.9472509863678775,1.6377205486739366,0.7226219420320009
12,ER,2,1.1369793615121182,0.09603972937864642,7.746294864304696,1.4260639370978663,0.6508662866218758
13,WS,2,1.67801948692752,0.24459982932324237,8.095256477416912,2.2217919150882848,0.8882375906213994
14,GM,2,1.5796687243040226,0.30280213876982315,7.755955393068225,2.2424450125233575,1.0374916060247048
15,OFRC,4,100.0,0.8842684882178931,1.7988226393769104,4.348709799561447,0.6476339551946226
16,WS,1,1.7214208652382819,0.262461649278101,7.72051741760617,2.31569818434316,0.8622610571384919
17,WS,4,1.6707910623853035,0.22840800971678055,7.754079453113073,2.2378529764682655,0.8742197755806612
18,OFRC,1,100.0,0.8839102115090242,7.453221682612842,4.361127808114518,0.6559450152804005
19,OFRC,2,100.0,0.8742248541334862,6.177702310362072,4.355472356048897,0.6494363396532535
20,GM,0,1.5778756239972127,0.33338758306363786,7.806218000160862,2.259999455495456,1.017145308523001
21,OFRC,0,100.0,0.8917942528261066,7.213737245303177,4.368387462261749,0.6202771519861667
22,GM,1,1.5534877608021964,0.29818453990875854,7.600219431368671,2.213021850323682,1.0242060328762017
23,GM,3,1.6427404173003826,0.38798435551434185,7.874318321506183,2.3544548179652462,1.0414391056544456
24,PW,3,1.2427344054403786,0.12635926182169976,7.877038338872533,1.5964780198143516,0.7512291081625234
25,ER,4,1.1338790537299575,0.0838700654219135,7.910407466801196,1.4203568369614066,0.6485902210766797
26,PW,1,1.2343748869862026,0.08927592466928883,7.941225184866166,1.5627862619243642,0.7249456124163911
27,PW,4,1.2571463384578343,0.14959797586000018,7.846006245685861,1.6777093412522,0.7743040874857376
28,BA,4,1.2506292834781085,0.22349868965854833,7.9244289819166465,1.7638238576094376,0.8618732454790436
29,ER,0,1.1373760921439344,0.10730811515156298,7.95719209725998,1.4368136041663877,0.6665246715440735
