,type,iter,pooled_persist,global_order,std_glbl_order,lcl_order,std_lcl
0,BA,1,0.6758123774704077,500.3714321089899,269.59744060498736,1.496047072858907,0.8612998843039592
1,GM,0,0.8942358274678697,2593.0083135137547,841.5092513299867,2.7175586631429263,1.655173332376304
2,PW,0,0.687491923970727,531.4422677837706,266.51420656693847,1.4495927635473558,0.7605784171509666
3,OFRC,1,100.0,13781.853967092964,1494.6020250204945,7.96803918669541,0.6330559992521164
4,WS,0,1.0051470685148847,2011.2987417339737,442.545059631463,2.6910890727950787,1.2620752620491051
5,ER,4,0.6409236021797585,344.68890199583313,145.24423612069538,1.234967820165645,0.6100348894930443
6,ER,0,0.6443656637562832,396.85140405571474,170.19053326056368,1.239831727029631,0.618692781723617
7,OFRC,4,100.0,13699.261967454651,1903.6353098483266,7.966694565661651,0.7057220798286744
8,OFRC,0,100.0,13643.619000889268,2063.6933540464684,7.939170254379609,0.7713172796260906
9,PW,1,0.6884978224967978,507.4973123211416,243.07447605718102,1.4261459785261816,0.7756918421159463
10,BA,4,0.6728728652217804,401.16996281542424,193.94809935017975,1.461245379895166,0.8176771719970306
11,ER,2,0.6416890106881187,364.18202567417603,146.5364781264315,1.2313273281533523,0.6092914043744825
12,BA,2,0.6766441120738688,639.4839880120225,224.14692527497942,1.4950500973413716,0.8532633325590098
13,BA,0,0.6791738092992348,702.0786541837615,274.1791800534131,1.5252121787175161,0.8721770075032946
14,OFRC,2,100.0,13916.482873152376,1252.7509300103893,8.024959630395257,0.5662595487202633
15,OFRC,3,100.0,13842.726530937993,1343.1177793787162,8.006411330209069,0.6186316544729555
16,PW,4,0.6901234506298872,632.0587800460291,253.56600636156216,1.477210125486931,0.7839630634970993
17,ER,1,0.6419319531168932,390.4391120480475,159.66673839594313,1.2259677224273005,0.6195014821176977
18,PW,2,0.691401224923101,532.9140542109805,221.85381887039458,1.4456441256420982,0.7772858907011375
19,BA,3,0.6770990039480244,628.4339371735963,259.7026309154705,1.4956165606346858,0.8458053105179514
20,ER,3,0.6382225015691297,380.509689167652,141.07174596202114,1.2160603499590017,0.5967493038456605
21,PW,3,0.6894084227698462,561.1897131557723,238.5314205613069,1.4343765273730866,0.766796423457957
