,time,center,order,type,iter
0,0,0,7.233161416353823,WS,1
1,0,1,4.247595008801952,WS,1
2,0,2,1.1153109130976162,WS,1
3,0,3,7.6557576323819845,WS,1
4,0,4,1.54972477334276,WS,1
5,0,5,0.4332456140350729,WS,1
6,0,6,9.638764496601063,WS,1
7,0,7,0.49176765969775715,WS,1
8,0,8,8.140922238027542,WS,1
9,0,9,13.085849385145167,WS,1
10,1,0,7.9891228882203364,WS,1
11,1,1,13.141346522288778,WS,1
12,1,2,10.604387128039008,WS,1
13,1,3,11.538358705667846,WS,1
14,1,4,2.497050816696941,WS,1
15,1,5,7.165621688449299,WS,1
16,1,6,2.676347888207772,WS,1
17,1,7,11.94113274313493,WS,1
18,1,8,2.8690090090090195,WS,1
19,1,9,5.493956374751036,WS,1
20,2,0,0.29416832940322024,WS,1
21,2,1,13.666052619060125,WS,1
22,2,2,4.668178596274778,WS,1
23,2,3,18.201701584809527,WS,1
24,2,4,7.877153656086499,WS,1
25,2,5,9.269012226512231,WS,1
26,2,6,1.9639881437845759,WS,1
27,2,7,5.833076364955602,WS,1
28,2,8,4.061808452748039,WS,1
29,2,9,6.659592734473819,WS,1
30,3,0,3.043840787886083,WS,1
31,3,1,1.7738227050941617,WS,1
32,3,2,3.1931034482758776,WS,1
33,3,3,1.8717906427298487,WS,1
34,3,4,4.0639269406392415,WS,1
35,3,5,3.703862369415745,WS,1
36,3,6,2.553977537598243,WS,1
37,3,7,2.824108183986233,WS,1
38,3,8,1.679601748421561,WS,1
39,3,9,6.9825711653402465,WS,1
40,4,0,5.1065961065961005,WS,1
41,4,1,0.1798048048048031,WS,1
42,4,2,4.336321839080455,WS,1
43,4,3,1.127836885679578,WS,1
44,4,4,13.191306272308836,WS,1
45,4,5,4.386808367071524,WS,1
46,4,6,9.543624161073822,WS,1
47,4,7,12.54440515413198,WS,1
48,4,8,9.922287678672475,WS,1
49,4,9,10.847700913274366,WS,1
50,5,0,1.1900165471594235,WS,1
51,5,1,4.993984995384167,WS,1
52,5,2,7.49668874172184,WS,1
53,5,3,8.184503056753933,WS,1
54,5,4,7.099061279992966,WS,1
55,5,5,5.226682564917823,WS,1
56,5,6,1.0000000000000142,WS,1
57,5,7,15.466224438847128,WS,1
58,5,8,4.551054313229528,WS,1
59,5,9,2.020667585226022,WS,1
60,6,0,5.559508809685411,WS,1
61,6,1,7.65322046184113,WS,1
62,6,2,6.889957435485705,WS,1
63,6,3,8.605976938365167,WS,1
64,6,4,3.0771812080537018,WS,1
65,6,5,3.753611111111141,WS,1
66,6,6,0.48623404794581404,WS,1
67,6,7,3.1240671729136267,WS,1
68,6,8,5.950941762286192,WS,1
69,6,9,4.1586365173120186,WS,1
70,7,0,6.249540103016926,WS,1
71,7,1,8.002867383512566,WS,1
72,7,2,10.15234500965068,WS,1
73,7,3,6.634482758620663,WS,1
74,7,4,3.620883866972747,WS,1
75,7,5,9.402514525536844,WS,1
76,7,6,3.221703416867591,WS,1
77,7,7,9.021391718499707,WS,1
78,7,8,0.0,WS,1
79,7,9,0.7104949104948801,WS,1
80,8,0,1.1478160919540272,WS,1
81,8,1,4.95711026425316,WS,1
82,8,2,11.322587028042548,WS,1
83,8,3,10.526405997873226,WS,1
84,8,4,2.485555555555578,WS,1
85,8,5,2.830673342081724,WS,1
86,8,6,12.051370526991612,WS,1
87,8,7,0.6570547658544399,WS,1
88,8,8,1.27425580228347,WS,1
89,8,9,5.907894736842088,WS,1
90,9,0,1.6161547062207546,WS,1
91,9,1,3.2882029300748457,WS,1
92,9,2,3.82986541337317,WS,1
93,9,3,3.1045112781955027,WS,1
94,9,4,6.442253641268401,WS,1
95,9,5,7.100248207391061,WS,1
96,9,6,4.499042053836604,WS,1
97,9,7,0.8430741983594459,WS,1
98,9,8,0.6569343065693474,WS,1
99,9,9,10.25982431523034,WS,1
100,10,0,0.6493773946360193,WS,1
101,10,1,3.962802142133455,WS,1
102,10,2,16.41728530338311,WS,1
103,10,3,15.385686085913065,WS,1
104,10,4,6.1963303039211155,WS,1
105,10,5,7.88128239838975,WS,1
106,10,6,10.866043901291619,WS,1
107,10,7,1.213656331739287,WS,1
108,10,8,5.774104987695246,WS,1
109,10,9,3.051432029043994,WS,1
110,11,0,2.1513724370866996,WS,1
111,11,1,2.339162974925415,WS,1
112,11,2,5.323026754561486,WS,1
113,11,3,0.16166334119355952,WS,1
114,11,4,1.3862740852998172,WS,1
115,11,5,5.347488038277504,WS,1
116,11,6,9.004485700552763,WS,1
117,11,7,2.429395973154371,WS,1
118,11,8,8.264352596058202,WS,1
119,11,9,4.180089485458588,WS,1
120,12,0,8.173208228712355,WS,1
121,12,1,4.952283317800564,WS,1
122,12,2,13.488216826044464,WS,1
123,12,3,10.943193892200512,WS,1
124,12,4,3.594899714319375,WS,1
125,12,5,8.296813462227036,WS,1
126,12,6,1.966656835835522,WS,1
127,12,7,6.449804250559282,WS,1
128,12,8,0.8922383604305963,WS,1
129,12,9,7.316019739216017,WS,1
130,13,0,5.8332907327240875,WS,1
131,13,1,0.38344036016400196,WS,1
132,13,2,11.902609771181226,WS,1
133,13,3,13.75174401267359,WS,1
134,13,4,1.3885064432509466,WS,1
135,13,5,2.721947726458964,WS,1
136,13,6,12.098966565349514,WS,1
137,13,7,8.830625804940865,WS,1
138,13,8,3.821194290358534,WS,1
139,13,9,4.752025189525185,WS,1
140,14,0,11.669669223171688,WS,1
141,14,1,3.004387474978131,WS,1
142,14,2,5.88036580813737,WS,1
143,14,3,3.634170944934354,WS,1
144,14,4,7.951932195353244,WS,1
145,14,5,6.048493911557355,WS,1
146,14,6,4.8384715588362965,WS,1
147,14,7,6.037741545893731,WS,1
148,14,8,0.3516622950120336,WS,1
149,14,9,1.6192518690231523,WS,1
150,15,0,0.22631756606602949,WS,1
151,15,1,10.774741162205036,WS,1
152,15,2,9.678241348050975,WS,1
153,15,3,4.750440432536749,WS,1
154,15,4,7.374364791288585,WS,1
155,15,5,8.439926626641387,WS,1
156,15,6,6.748110494600539,WS,1
157,15,7,7.315892234516376,WS,1
158,15,8,5.10091602229663,WS,1
159,15,9,1.3649999999999807,WS,1
160,16,0,9.505423294569738,WS,1
161,16,1,14.962493003595554,WS,1
162,16,2,5.889317572099216,WS,1
163,16,3,4.43947441990494,WS,1
164,16,4,8.547064605789487,WS,1
165,16,5,5.897963883059383,WS,1
166,16,6,12.192806487980533,WS,1
167,16,7,1.6565829528158247,WS,1
168,16,8,4.8102795960141265,WS,1
169,16,9,0.03932449107916369,WS,1
170,17,0,5.3073101673101775,WS,1
171,17,1,17.30544841082977,WS,1
172,17,2,5.608648648648668,WS,1
173,17,3,5.463324248115079,WS,1
174,17,4,5.628981517551814,WS,1
175,17,5,2.9884264652713597,WS,1
176,17,6,4.0262771775376365,WS,1
177,17,7,3.8218725718726034,WS,1
178,17,8,2.5027927623088004,WS,1
179,17,9,1.787766260072864,WS,1
180,18,0,1.8918973274352098,WS,1
181,18,1,4.439379084482269,WS,1
182,18,2,7.764273520239527,WS,1
183,18,3,6.948899926416431,WS,1
184,18,4,4.285106301020782,WS,1
185,18,5,3.0916759880686016,WS,1
186,18,6,5.1931192616906685,WS,1
187,18,7,6.903587132608166,WS,1
188,18,8,1.945656378306623,WS,1
189,18,9,1.161350275535554,WS,1
190,19,0,1.5354414224166106,WS,1
191,19,1,9.186790292163458,WS,1
192,19,2,0.7959183673469568,WS,1
193,19,3,8.335973233447838,WS,1
194,19,4,6.057616779258154,WS,1
195,19,5,15.279586398792702,WS,1
196,19,6,4.785833333333329,WS,1
197,19,7,7.631339459430471,WS,1
198,19,8,3.0994284677492487,WS,1
