,time,center,coords,radius,order,type,iter,n_cells,speed
0,0,0,"[53, 12, 35]",12,17.4487884160756,GM,2,6.0,2.908131402679267
1,0,1,"[14, 44, 46]",12,30.15893044620229,GM,2,15.0,2.398806930472202
2,0,2,"[35, 20, 41]",9,4.989571780052813,GM,2,9.0,2.310122399630185
3,0,3,"[51, 51, 15]",8,6.376978133567889,GM,2,15.0,2.4351362303276534
4,0,4,"[56, 25, 20]",8,17.934297052154193,GM,2,6.0,3.490863567649285
5,0,5,"[26, 48, 18]",8,3.2222334577437266,GM,2,9.0,2.343102815823888
6,0,6,"[28, 49, 40]",7,4.456909996478359,GM,2,3.0,2.6081736009793652
7,0,7,"[57, 54, 31]",7,11.276640713607705,GM,2,15.0,2.8958465492582133
8,0,8,"[8, 20, 57]",7,10.997845655014856,GM,2,9.0,3.4624870253378535
9,0,9,"[7, 37, 58]",7,21.495863189302156,GM,2,9.0,3.07414701498248
10,0,10,"[48, 7, 10]",7,20.425738484152177,GM,2,9.0,2.8650129692330575
11,0,11,"[58, 58, 56]",7,10.207848930307236,GM,2,9.0,3.5519465184375445
12,0,12,"[7, 7, 58]",7,15.533553739805598,GM,2,12.0,3.3905580883466135
13,0,13,"[20, 7, 29]",6,2.1198191887527003,GM,2,12.0,2.1756148674913525
14,0,14,"[58, 7, 52]",6,31.599096571960715,GM,2,12.0,3.3850488189444206
15,0,15,"[30, 58, 11]",6,16.852338362218745,GM,2,12.0,2.246718746770464
16,0,16,"[41, 24, 29]",6,15.867524232207955,GM,2,9.0,2.4455413261609635
17,0,17,"[6, 6, 22]",6,14.95605882905447,GM,2,9.0,2.47106831570972
18,0,18,"[14, 38, 6]",6,12.09889760314438,GM,2,12.0,2.179370911614369
19,0,19,"[23, 6, 6]",6,0.21505972020719355,GM,2,12.0,2.200388102806459
20,0,20,"[8, 59, 6]",6,14.524103935160454,GM,2,9.0,2.970847085368839
21,1,0,"[53, 12, 35]",12,24.452404042294532,GM,2,12.0,3.2094626615204915
22,1,1,"[14, 44, 46]",12,14.531074168541508,GM,2,9.0,2.4750466137648033
23,1,2,"[35, 20, 41]",9,1.9636231989239334,GM,2,6.0,2.049449160232495
24,1,3,"[51, 51, 15]",8,5.321428571428598,GM,2,6.0,2.0594488844488814
25,1,4,"[56, 25, 20]",8,5.893267246446371,GM,2,9.0,2.614890575725454
26,1,5,"[26, 48, 18]",8,1.8172440890957944,GM,2,12.0,2.384209963874594
27,1,6,"[28, 49, 40]",7,3.764613288046583,GM,2,9.0,2.468121072886797
