,type,iter,pooled_persist,global_order,std_glbl_order,lcl_order,std_lcl
0,GM,0,0.8942358274678697,2593.0083135137547,8.764810432215636,2.7175586631429263,1.655173332376304
1,WS,0,1.0051470685148847,2011.2987417339737,8.98784717366738,2.6910890727950787,1.2620752620491051
2,GM,3,0.8843872966853726,2423.740482516932,8.811934321567858,2.7260262132744284,1.6204206256150753
3,GM,4,0.88595044316113,2415.272549652841,8.78057653499185,2.719018637038733,1.5989702094975653
4,GM,1,0.8933060564937992,2666.460093104762,8.836223062371316,2.7494243305164265,1.6186370026418222
5,PW,0,0.687491923970727,531.4422677837706,5.699657226083778,1.4495927635473558,0.7605784171509666
6,OFRC,4,100.0,13699.261967454651,22.586823134307238,7.966694565661651,0.7057220798286744
7,WS,3,0.9776187836443089,1643.7542591455688,8.839155408783876,2.6137111232874966,1.1940733653044537
8,ER,3,0.6382225015691297,380.509689167652,5.066467161484091,1.2160603499590017,0.5967493038456605
9,PW,3,0.6894084227698462,561.1897131557723,5.699941370703687,1.4343765273730866,0.766796423457957
10,PW,4,0.6901234506298872,632.0587800460291,5.733025644322031,1.477210125486931,0.7839630634970993
11,BA,2,0.6766441120738688,639.4839880120225,5.544984363066593,1.4950500973413716,0.8532633325590098
12,OFRC,3,100.0,13842.726530937993,7.4467540526960825,8.006411330209069,0.6186316544729555
13,ER,0,0.6443656637562832,396.85140405571474,5.11451616873685,1.239831727029631,0.618692781723617
14,OFRC,1,100.0,13781.853967092964,13.686593370962303,7.96803918669541,0.6330559992521164
15,WS,4,0.9954643589857975,2214.4862653874106,8.83609323003474,2.694990910103044,1.2503447122720595
16,BA,0,0.6791738092992348,702.0786541837615,5.562418357483936,1.5252121787175161,0.8721770075032946
17,WS,1,0.9943834328587392,2029.7662941442877,8.878384681437128,2.6454014869858624,1.2308198418912681
18,WS,2,1.01657801637388,2055.626515015053,8.991873819417192,2.6952771759208423,1.2517327634964166
19,ER,1,0.6419319531168932,390.4391120480475,5.106624148937786,1.2259677224273005,0.6195014821176977
20,BA,4,0.6728728652217804,401.16996281542424,5.552598570013889,1.461245379895166,0.8176771719970306
21,BA,1,0.6758123774704077,500.3714321089899,5.554084247959189,1.496047072858907,0.8612998843039592
22,OFRC,0,100.0,13643.619000889268,10.030834648866064,7.939170254379609,0.7713172796260906
23,ER,2,0.6416890106881187,364.18202567417603,5.111105599428247,1.2313273281533523,0.6092914043744825
24,PW,1,0.6884978224967978,507.4973123211416,5.711949354434385,1.4261459785261816,0.7756918421159463
25,PW,2,0.691401224923101,532.9140542109805,5.729003069901122,1.4456441256420982,0.7772858907011375
26,GM,2,0.8842264594970832,2282.7960259029355,8.743551172779787,2.68180546583119,1.6087220914211866
27,OFRC,2,100.0,13916.482873152376,20.80550078604725,8.024959630395257,0.5662595487202633
28,ER,4,0.6409236021797585,344.68890199583313,5.109701112492815,1.234967820165645,0.6100348894930443
29,BA,3,0.6770990039480244,628.4339371735963,5.555819007358061,1.4956165606346858,0.8458053105179514
