,type,iter,pooled_persist,global_order,std_glbl_order,lcl_order,std_lcl
0,WS,0,3.1024056462796397,3038.803880499063,659.5914762250624,2.4453854932093186,0.5449371866075838
1,WS,1,3.0270540285592697,3047.814785201098,754.3411438961481,2.4523809651232935,0.5634816754291289
2,ER,4,1.913538626437729,2412.5371608482424,623.0287567725961,2.1625636968211115,0.591705059908286
3,PW,3,2.1811309526459546,2632.2919356258253,713.2546290677506,2.2563027130387057,0.5913277869925797
4,WS,2,2.949578967020166,2995.730009914443,797.6382384534677,2.427328318756065,0.5799306126606979
5,ER,2,1.9217915158543057,2444.5872990883345,533.4668009807756,2.165199437309017,0.5772591689929019
6,GM,0,2.8134690345414395,3005.713657230659,622.8628759296989,2.422614769592787,0.538560574374995
7,PW,0,1.9697709236220338,2393.1607708160614,934.4110952835316,2.190117022974282,0.6317819166520457
8,PW,1,2.0017288521513508,2490.5580242048727,819.0234290794957,2.1864428975143495,0.6213233398042606
9,WS,4,3.2453306597293152,3118.0485019572175,642.5004661853311,2.4807389108951026,0.5270244183218115
10,PW,4,2.087723494788608,2575.831066536374,726.3717068813395,2.2325382744449174,0.583520103676936
11,ER,0,1.9588559601185747,2504.3656908572816,451.1794067832358,2.183806503398868,0.5719703638527948
12,ER,1,1.9463583366304027,2434.9701469613087,658.6723802153921,2.173279597340607,0.5764830795478757
13,BA,0,2.343200900050988,2696.776044169552,819.2597892578536,2.3190121663924463,0.5940557590275224
14,GM,4,2.590567405562312,2836.252559499176,770.7000200846841,2.3503794588111933,0.5821397432071991
15,PW,2,2.1983055625081147,2679.255927036079,568.8539688396367,2.267562485337377,0.5729153777004373
16,ER,3,1.8800222764200678,2376.7772450215516,594.1722388679439,2.13892530910176,0.5866964519316294
17,BA,4,2.5724839490400715,2881.4485462793305,592.520577997852,2.39058113487818,0.535968791288947
18,BA,3,2.192139448919937,2546.0363903269954,910.0539135831194,2.2516045570438714,0.5982946490558722
19,GM,2,2.6929613189340347,2926.6957972143086,720.7732997689806,2.3867783165542007,0.5726070915620859
20,WS,3,3.1796180020953004,3078.7257598302263,643.3203764427362,2.474464906250637,0.5346558442894958
21,GM,1,2.7205022595000177,2955.9925643799975,610.3698267157378,2.4096130110771448,0.5407670797145848
22,BA,1,2.377976941151534,2695.982250677265,933.1671923228587,2.316052268087851,0.6026964584152531
23,GM,3,2.964943425762244,3062.440986783487,618.4296205199911,2.4480974664976496,0.5381121048518167
24,BA,2,2.4140354844543643,2753.590444515029,770.1028795586832,2.3209353545766236,0.5935775627194344
