,time,center,coords,radius,order,type,iter
86,7,9,"[59, 45, 44]",6,0.2,ER,1
87,7,10,"[23, 59, 6]",6,0.5,ER,1
88,8,0,"[51, 32, 48]",7,0.6,ER,1
89,8,1,"[40, 32, 56]",7,0.1111111111111111,ER,1
90,8,2,"[13, 58, 48]",7,0.0,ER,1
91,8,3,"[25, 13, 7]",7,0.3333333333333333,ER,1
92,8,4,"[47, 41, 30]",7,0.16666666666666666,ER,1
93,8,5,"[48, 24, 7]",6,0.0,ER,1
94,8,6,"[53, 22, 22]",6,0.16666666666666666,ER,1
95,8,7,"[28, 38, 51]",6,0.0,ER,1
96,8,8,"[48, 6, 55]",6,0.2222222222222222,ER,1
97,8,9,"[59, 45, 44]",6,0.16666666666666666,ER,1
98,8,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
99,9,0,"[51, 32, 48]",7,0.6,ER,1
100,9,1,"[40, 32, 56]",7,0.5,ER,1
101,9,2,"[13, 58, 48]",7,0.1111111111111111,ER,1
102,9,3,"[25, 13, 7]",7,0.1111111111111111,ER,1
103,9,4,"[47, 41, 30]",7,0.06666666666666667,ER,1
104,9,5,"[48, 24, 7]",6,0.7777777777777778,ER,1
105,9,6,"[53, 22, 22]",6,0.3333333333333333,ER,1
106,9,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
107,9,8,"[48, 6, 55]",6,0.3333333333333333,ER,1
108,9,9,"[59, 45, 44]",6,0.16666666666666666,ER,1
109,9,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
110,10,0,"[51, 32, 48]",7,1.0,ER,1
111,10,1,"[40, 32, 56]",7,0.3333333333333333,ER,1
112,10,2,"[13, 58, 48]",7,0.2222222222222222,ER,1
113,10,3,"[25, 13, 7]",7,0.0,ER,1
114,10,4,"[47, 41, 30]",7,0.3333333333333333,ER,1
115,10,5,"[48, 24, 7]",6,0.5,ER,1
116,10,6,"[53, 22, 22]",6,0.16666666666666666,ER,1
117,10,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
118,10,8,"[48, 6, 55]",6,0.2,ER,1
119,10,9,"[59, 45, 44]",6,0.3333333333333333,ER,1
120,10,10,"[23, 59, 6]",6,0.5555555555555556,ER,1
121,11,0,"[51, 32, 48]",7,0.7777777777777778,ER,1
122,11,1,"[40, 32, 56]",7,0.3333333333333333,ER,1
123,11,2,"[13, 58, 48]",7,0.2222222222222222,ER,1
124,11,3,"[25, 13, 7]",7,0.16666666666666666,ER,1
125,11,4,"[47, 41, 30]",7,0.3333333333333333,ER,1
126,11,5,"[48, 24, 7]",6,0.1111111111111111,ER,1
127,11,6,"[53, 22, 22]",6,0.3333333333333333,ER,1
128,11,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
129,11,8,"[48, 6, 55]",6,0.16666666666666666,ER,1
130,11,9,"[59, 45, 44]",6,0.3333333333333333,ER,1
131,11,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
132,12,0,"[51, 32, 48]",7,0.5,ER,1
133,12,1,"[40, 32, 56]",7,0.5,ER,1
134,12,2,"[13, 58, 48]",7,0.5,ER,1
135,12,3,"[25, 13, 7]",7,0.6666666666666666,ER,1
136,12,4,"[47, 41, 30]",7,0.3333333333333333,ER,1
137,12,5,"[48, 24, 7]",6,0.3333333333333333,ER,1
138,12,6,"[53, 22, 22]",6,0.3333333333333333,ER,1
139,12,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
140,12,8,"[48, 6, 55]",6,0.06666666666666667,ER,1
141,12,9,"[59, 45, 44]",6,0.16666666666666666,ER,1
142,12,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
143,13,0,"[51, 32, 48]",7,0.5555555555555556,ER,1
144,13,1,"[40, 32, 56]",7,0.3333333333333333,ER,1
145,13,2,"[13, 58, 48]",7,0.16666666666666666,ER,1
146,13,3,"[25, 13, 7]",7,0.0,ER,1
