,time,center,order,type,iter
0,0,0,1.8592527386541775,GM,4
1,0,1,1.6719858156028096,GM,4
2,0,2,6.961078115187682,GM,4
3,0,3,1.4295774647887498,GM,4
4,0,4,0.0,GM,4
5,0,5,9.502087491060399,GM,4
6,0,6,5.32167832167832,GM,4
7,0,7,3.6678894595255755,GM,4
8,0,8,2.3652981720107675,GM,4
9,0,9,0.05400749822672424,GM,4
10,1,0,0.9696454589607129,GM,4
11,1,1,1.3712611779216672,GM,4
12,1,2,9.068726053639779,GM,4
13,1,3,2.3590425531914647,GM,4
14,1,4,0.0,GM,4
15,1,5,3.68203743005979,GM,4
16,1,6,10.959777587468551,GM,4
17,1,7,3.296599951772343,GM,4
18,1,8,0.0,GM,4
19,1,9,7.456941434934372,GM,4
20,2,0,1.960381511371935,GM,4
21,2,1,0.0,GM,4
22,2,2,9.61656711170793,GM,4
23,2,3,0.6299030250398303,GM,4
24,2,4,8.912604326085209,GM,4
25,2,5,0.0,GM,4
26,2,6,0.4097584153434468,GM,4
27,2,7,3.9385190576079907,GM,4
28,2,8,0.0,GM,4
29,2,9,4.685562664286088,GM,4
30,3,0,4.884275446775362,GM,4
31,3,1,3.9286735740110075,GM,4
32,3,2,4.541136724960239,GM,4
33,3,3,3.487462537462534,GM,4
34,3,4,1.4531665517580947,GM,4
35,3,5,0.8609519184070109,GM,4
36,3,6,6.053571428571402,GM,4
37,3,7,4.503202442564103,GM,4
38,3,8,4.699047329482099,GM,4
39,3,9,2.1152057567835527,GM,4
40,4,0,0.9954196217493632,GM,4
41,4,1,0.7404147104851191,GM,4
42,4,2,4.01458541458539,GM,4
43,4,3,1.1931034482758776,GM,4
44,4,4,0.6986255124185732,GM,4
45,4,5,4.509595559991936,GM,4
46,4,6,3.3639455782313235,GM,4
47,4,7,1.5745120120120788,GM,4
48,4,8,1.5623946767875196,GM,4
49,4,9,7.374120600804758,GM,4
50,5,0,4.550359712230222,GM,4
51,5,1,0.06307077625572788,GM,4
52,5,2,6.682696177062425,GM,4
53,5,3,2.0392572944296887,GM,4
54,5,4,3.5592567900411964,GM,4
55,5,5,1.8557244174265577,GM,4
56,5,6,3.4272550194785936,GM,4
57,5,7,0.0,GM,4
58,5,8,0.6082951531227607,GM,4
59,5,9,0.006079027355568201,GM,4
60,6,0,3.0438431863205153,GM,4
61,6,1,0.0,GM,4
62,6,2,13.194139389561919,GM,4
63,6,3,2.6232797768608123,GM,4
64,6,4,0.5826554397983443,GM,4
65,6,5,3.6918279447403677,GM,4
66,6,6,0.0,GM,4
67,6,7,2.697309634809656,GM,4
68,6,8,5.664335664335653,GM,4
69,6,9,3.6810865191147,GM,4
70,7,0,0.36082000367714784,GM,4
71,7,1,4.47682433208054,GM,4
72,7,2,5.34013605442172,GM,4
73,7,3,3.4022235457614016,GM,4
74,7,4,1.4266219891219976,GM,4
75,7,5,3.478723404255362,GM,4
76,7,6,5.062937062937053,GM,4
77,7,7,6.738601971314665,GM,4
78,7,8,6.730623543123599,GM,4
79,7,9,4.915564013451295,GM,4
80,8,0,4.414242292661726,GM,4
81,8,1,2.0662835249042217,GM,4
82,8,2,0.5418145388876354,GM,4
83,8,3,2.2885367762128226,GM,4
84,8,4,5.403312999057661,GM,4
85,8,5,6.7458952686291775,GM,4
86,8,6,4.690584063823508,GM,4
87,8,7,6.776054440793899,GM,4
88,8,8,11.556909456909423,GM,4
89,8,9,5.373013001907935,GM,4
90,9,0,0.0,GM,4
91,9,1,3.172809909099982,GM,4
92,9,2,1.7696192696192696,GM,4
93,9,3,5.479166666666657,GM,4
94,9,4,0.09913880445797929,GM,4
95,9,5,4.764682850006627,GM,4
96,9,6,0.0,GM,4
97,9,7,10.905076578098154,GM,4
98,9,8,2.7369921744921726,GM,4
99,9,9,0.0,GM,4
100,10,0,0.371449240414762,GM,4
101,10,1,9.874781188968015,GM,4
102,10,2,1.8251509054325794,GM,4
103,10,3,0.0,GM,4
104,10,4,2.1573178594455555,GM,4
105,10,5,4.9470616804273675,GM,4
106,10,6,3.0920893719806486,GM,4
107,10,7,11.635825917515994,GM,4
108,10,8,2.622052358113507,GM,4
109,10,9,0.0,GM,4
110,11,0,4.028661479365709,GM,4
111,11,1,2.412217929156803,GM,4
112,11,2,4.742884895580403,GM,4
113,11,3,7.708723900213265,GM,4
114,11,4,5.812255765019103,GM,4
115,11,5,2.947646892948846,GM,4
116,11,6,6.401740102171061,GM,4
117,11,7,0.25563063063061264,GM,4
118,11,8,0.04317042770792057,GM,4
119,11,9,4.8849094567404165,GM,4
120,12,0,1.21360153256704,GM,4
121,12,1,9.336662214667342,GM,4
122,12,2,3.929175837613087,GM,4
123,12,3,12.293625202314033,GM,4
124,12,4,0.0,GM,4
125,12,5,3.1044289044289,GM,4
126,12,6,0.0,GM,4
127,12,7,6.067781690140869,GM,4
128,12,8,5.039926971136282,GM,4
129,12,9,0.6193243376341968,GM,4
130,13,0,0.6061755146262158,GM,4
131,13,1,4.696120689655146,GM,4
132,13,2,0.7225943071013177,GM,4
133,13,3,3.002040221509759,GM,4
134,13,4,2.833504524333648,GM,4
135,13,5,10.705124471851036,GM,4
136,13,6,9.004634851038517,GM,4
137,13,7,6.1329836829837205,GM,4
138,13,8,1.6381573509231586,GM,4
139,13,9,1.4014084507041673,GM,4
140,14,0,2.169652265542652,GM,4
141,14,1,3.0649798734905005,GM,4
142,14,2,0.5201798201798056,GM,4
143,14,3,5.108359631755178,GM,4
144,14,4,2.985915492957716,GM,4
145,14,5,9.34746874746881,GM,4
146,14,6,0.0,GM,4
147,14,7,1.862917224619352,GM,4
148,14,8,1.7403300905501808,GM,4
149,14,9,2.4430676737865014,GM,4
150,15,0,0.1331001651607835,GM,4
151,15,1,8.802106179579305,GM,4
152,15,2,5.244668008048322,GM,4
153,15,3,1.3170289855072639,GM,4
154,15,4,9.76880512225064,GM,4
155,15,5,6.982634581989583,GM,4
156,15,6,1.097902097902164,GM,4
157,15,7,1.9277482269503494,GM,4
158,15,8,4.989488842972264,GM,4
159,15,9,1.896551724137936,GM,4
160,16,0,0.0,GM,4
161,16,1,1.5320613074758072,GM,4
162,16,2,2.4722222222222285,GM,4
163,16,3,1.3218599033816503,GM,4
164,16,4,2.997134809634865,GM,4
165,16,5,5.402111872146094,GM,4
166,16,6,1.583712399119591,GM,4
167,16,7,3.1259005682567036,GM,4
