,time,center,coords,length,order,type,iter,n_cells,speed
0,0,0,"[18.5, 28.5, 45.5]",20.46948949045872,1.789562668973069,GM,2,9.0,0.4926296752117112
1,0,1,"[46.0, 57.0, 29.5]",20.322401432901575,16.124389159443837,GM,2,15.0,1.8622711099289309
2,0,2,"[48.5, 13.0, 53.0]",20.223748416156685,2.2919210607462333,GM,2,9.0,1.885737181317405
3,0,3,"[16.0, 17.0, 11.0]",20.199009876724155,8.439152473737117,GM,2,12.0,1.3253353897180695
4,0,4,"[40.0, 6.5, 29.5]",20.149441679609886,1.6237423197586054,GM,2,9.0,2.0803615445770163
5,0,5,"[46.0, 42.5, 3.0]",20.12461179749811,0.19148936170213915,GM,2,3.0,1.3451536643025956
6,0,6,"[41.5, 31.0, 48.0]",20.12461179749811,0.6625391565394381,GM,2,12.0,1.8932230800863923
7,0,7,"[40.0, 29.0, 59.0]",20.09975124224178,15.85129456167816,GM,2,9.0,3.0202743777545527
8,0,8,"[4.0, 49.5, 45.5]",20.049937655763422,8.843775095208017,GM,2,12.0,1.9206703893086317
9,0,9,"[41.5, 17.0, 10.5]",20.049937655763422,9.68419739179582,GM,2,15.0,2.2379278437062444
10,0,10,"[26.5, 27.5, 14.0]",20.049937655763422,1.7382155329161435,GM,2,6.0,0.5375615717745413
11,0,11,"[34.0, 54.0, 29.5]",20.024984394500787,3.799933489876203,GM,2,12.0,1.8036603678066718
12,0,12,"[47.5, 6.0, 19.0]",20.024984394500787,25.307895054967034,GM,2,12.0,2.2598428360891005
13,0,13,"[23.0, 8.0, 54.0]",20.0,22.618266208328627,GM,2,21.0,1.5838451468469426
14,0,14,"[42.5, 27.5, 12.0]",19.949937343260004,3.892073890182033,GM,2,12.0,1.627941856164809
15,0,15,"[42.0, 20.5, 21.5]",19.949937343260004,4.6938348994620185,GM,2,12.0,2.231718733042482
16,0,16,"[3.5, 26.0, 35.5]",19.949937343260004,4.321138449453965,GM,2,9.0,1.2064896815674642
17,0,17,"[36.0, 44.0, 1.5]",19.924858845171276,0.0,GM,2,0.0,
18,0,18,"[24.0, 39.0, 19.0]",19.8997487421324,7.4127418757284715,GM,2,9.0,1.5017740100096262
19,0,19,"[48.5, 14.5, 7.5]",19.87460691435179,2.7492161926784746,GM,2,6.0,1.4980962891778589
20,0,20,"[38.5, 19.5, 6.5]",19.87460691435179,7.516842417032642,GM,2,9.0,2.0259762443574996
21,1,0,"[18.5, 28.5, 45.5]",20.46948949045872,1.5224009566200465,GM,2,6.0,0.5900506283198842
22,1,1,"[46.0, 57.0, 29.5]",20.322401432901575,38.9980445411199,GM,2,18.0,2.5879203850334993
23,1,2,"[48.5, 13.0, 53.0]",20.223748416156685,5.319264552410182,GM,2,9.0,1.692877517849064
24,1,3,"[16.0, 17.0, 11.0]",20.199009876724155,7.02994906576469,GM,2,15.0,1.0767409933046437
25,1,4,"[40.0, 6.5, 29.5]",20.149441679609886,2.496663479877654,GM,2,12.0,2.3134925866086733
26,1,5,"[46.0, 42.5, 3.0]",20.12461179749811,0.6366742567855823,GM,2,9.0,2.4161381627227976
27,1,6,"[41.5, 31.0, 48.0]",20.12461179749811,0.9999284053725503,GM,2,15.0,1.16114258024824
28,1,7,"[40.0, 29.0, 59.0]",20.09975124224178,12.609829079203863,GM,2,6.0,2.31140529839355
29,1,8,"[4.0, 49.5, 45.5]",20.049937655763422,10.212350262674455,GM,2,12.0,2.580162185971052
30,1,9,"[41.5, 17.0, 10.5]",20.049937655763422,2.6563600250373867,GM,2,12.0,1.5931404948216503
31,1,10,"[26.5, 27.5, 14.0]",20.049937655763422,1.5240489707642553,GM,2,6.0,1.264287001634931
32,1,11,"[34.0, 54.0, 29.5]",20.024984394500787,3.8450718502377157,GM,2,15.0,1.695808820337884
33,1,12,"[47.5, 6.0, 19.0]",20.024984394500787,19.464024997183728,GM,2,12.0,2.2653099996072577
34,1,13,"[23.0, 8.0, 54.0]",20.0,22.221383432856292,GM,2,15.0,1.953892370797558
35,1,14,"[42.5, 27.5, 12.0]",19.949937343260004,14.82918527125912,GM,2,12.0,2.3378102868548183
36,1,15,"[42.0, 20.5, 21.5]",19.949937343260004,7.0659421915789125,GM,2,15.0,2.530013537581174
37,1,16,"[3.5, 26.0, 35.5]",19.949937343260004,0.24347727013786624,GM,2,3.0,0.32634537237476735
38,1,17,"[36.0, 44.0, 1.5]",19.924858845171276,0.164132553606251,GM,2,3.0,0.36812401373803993
39,1,18,"[24.0, 39.0, 19.0]",19.8997487421324,12.147885034574934,GM,2,15.0,1.453631673936994
40,1,19,"[48.5, 14.5, 7.5]",19.87460691435179,10.501803586185915,GM,2,12.0,1.7915304358077162
41,1,20,"[38.5, 19.5, 6.5]",19.87460691435179,5.922730481276744,GM,2,9.0,1.5434769167924414
42,2,0,"[18.5, 28.5, 45.5]",20.46948949045872,0.12983845449832998,GM,2,6.0,1.119225431057486
43,2,1,"[46.0, 57.0, 29.5]",20.322401432901575,10.992922106675344,GM,2,15.0,2.358739567495271
44,2,2,"[48.5, 13.0, 53.0]",20.223748416156685,9.295294084561803,GM,2,6.0,1.9425904219611212
45,2,3,"[16.0, 17.0, 11.0]",20.199009876724155,2.181979857811932,GM,2,15.0,1.4663703273359512
46,2,4,"[40.0, 6.5, 29.5]",20.149441679609886,2.4154512978508365,GM,2,15.0,2.1378320571300873
47,2,5,"[46.0, 42.5, 3.0]",20.12461179749811,6.81882374813938,GM,2,6.0,2.369852324275191
48,2,6,"[41.5, 31.0, 48.0]",20.12461179749811,12.57900979775971,GM,2,18.0,1.6143827275182443
49,2,7,"[40.0, 29.0, 59.0]",20.09975124224178,1.829007356214845,GM,2,6.0,1.3653944747948306
50,2,8,"[4.0, 49.5, 45.5]",20.049937655763422,10.053065090226795,GM,2,15.0,1.8566175356033776
51,2,9,"[41.5, 17.0, 10.5]",20.049937655763422,12.904572491620527,GM,2,15.0,1.7250411838474624
52,2,10,"[26.5, 27.5, 14.0]",20.049937655763422,1.4057698992005498,GM,2,6.0,0.5382213983187162
53,2,11,"[34.0, 54.0, 29.5]",20.024984394500787,2.255799286267056,GM,2,15.0,2.0243088810736354
54,2,12,"[47.5, 6.0, 19.0]",20.024984394500787,26.626321553239748,GM,2,12.0,2.665004408043611
55,2,13,"[23.0, 8.0, 54.0]",20.0,9.277110915787642,GM,2,18.0,2.086242409101616
56,2,14,"[42.5, 27.5, 12.0]",19.949937343260004,6.219413704448911,GM,2,6.0,3.0369915430799943
57,2,15,"[42.0, 20.5, 21.5]",19.949937343260004,8.285534587153634,GM,2,15.0,2.0759511079591855
58,2,16,"[3.5, 26.0, 35.5]",19.949937343260004,5.01092445892569,GM,2,9.0,0.9968296145249936
59,2,17,"[36.0, 44.0, 1.5]",19.924858845171276,0.0,GM,2,0.0,
60,2,18,"[24.0, 39.0, 19.0]",19.8997487421324,8.101919458083117,GM,2,15.0,1.4809126994737132
61,2,19,"[48.5, 14.5, 7.5]",19.87460691435179,0.6333645798504364,GM,2,15.0,1.1688331429347585
62,2,20,"[38.5, 19.5, 6.5]",19.87460691435179,0.5266573173513791,GM,2,6.0,2.6118705731288117
63,3,0,"[18.5, 28.5, 45.5]",20.46948949045872,1.6437193307116864,GM,2,6.0,0.45706208822748273
64,3,1,"[46.0, 57.0, 29.5]",20.322401432901575,22.42206668731444,GM,2,21.0,2.076419393757131
65,3,2,"[48.5, 13.0, 53.0]",20.223748416156685,6.473718364698243,GM,2,6.0,1.7914819655549554
66,3,3,"[16.0, 17.0, 11.0]",20.199009876724155,3.9138106846334395,GM,2,12.0,1.4833462556610832
67,3,4,"[40.0, 6.5, 29.5]",20.149441679609886,2.8152725650100194,GM,2,12.0,1.489169013959921
68,3,5,"[46.0, 42.5, 3.0]",20.12461179749811,0.5251851713293121,GM,2,6.0,2.213752136747106
69,3,6,"[41.5, 31.0, 48.0]",20.12461179749811,8.193324422802128,GM,2,15.0,1.7110468690030174
70,3,7,"[40.0, 29.0, 59.0]",20.09975124224178,16.015603512112556,GM,2,6.0,3.3424045276631715
71,3,8,"[4.0, 49.5, 45.5]",20.049937655763422,11.168781210923001,GM,2,12.0,2.0414406331581687
72,3,9,"[41.5, 17.0, 10.5]",20.049937655763422,12.875079395183434,GM,2,15.0,1.6792992365255903
73,3,10,"[26.5, 27.5, 14.0]",20.049937655763422,6.327456871026115,GM,2,9.0,1.4165045944936263
74,3,11,"[34.0, 54.0, 29.5]",20.024984394500787,2.666320645188108,GM,2,9.0,1.2564265898395428
75,3,12,"[47.5, 6.0, 19.0]",20.024984394500787,9.28836791423742,GM,2,9.0,1.9648321733640972
76,3,13,"[23.0, 8.0, 54.0]",20.0,10.616845912826687,GM,2,18.0,1.9597501032736087
77,3,14,"[42.5, 27.5, 12.0]",19.949937343260004,5.131866707496734,GM,2,12.0,2.0528486567850006
78,3,15,"[42.0, 20.5, 21.5]",19.949937343260004,0.5605696332858088,GM,2,12.0,1.8423242101697592
79,3,16,"[3.5, 26.0, 35.5]",19.949937343260004,0.8842752593590113,GM,2,9.0,1.304848068106236
80,3,17,"[36.0, 44.0, 1.5]",19.924858845171276,1.9718625099920217,GM,2,3.0,0.6572875033306739
81,3,18,"[24.0, 39.0, 19.0]",19.8997487421324,2.312249383403362,GM,2,18.0,1.3288249185104637
82,3,19,"[48.5, 14.5, 7.5]",19.87460691435179,1.8224318109985802,GM,2,15.0,0.8145325025893214
83,3,20,"[38.5, 19.5, 6.5]",19.87460691435179,2.3181025081788533,GM,2,3.0,3.049909123954928
84,4,0,"[18.5, 28.5, 45.5]",20.46948949045872,1.1821565415606727,GM,2,6.0,0.5711095885166321
85,4,1,"[46.0, 57.0, 29.5]",20.322401432901575,5.801304161212705,GM,2,12.0,1.8409323542151064
86,4,2,"[48.5, 13.0, 53.0]",20.223748416156685,1.1616948470209252,GM,2,6.0,0.6410623226746424
87,4,3,"[16.0, 17.0, 11.0]",20.199009876724155,9.232847041980207,GM,2,14.0,1.1242968201274965
88,4,4,"[40.0, 6.5, 29.5]",20.149441679609886,5.435955860874877,GM,2,12.0,2.6797183832745586
89,4,5,"[46.0, 42.5, 3.0]",20.12461179749811,3.526029526029504,GM,2,3.0,2.8926120176120187
90,4,6,"[41.5, 31.0, 48.0]",20.12461179749811,0.8629218015117246,GM,2,15.0,1.2909315794508829
91,4,7,"[40.0, 29.0, 59.0]",20.09975124224178,18.89339625961668,GM,2,6.0,3.1488993766027797
92,4,8,"[4.0, 49.5, 45.5]",20.049937655763422,4.486512763622748,GM,2,12.0,1.7747229220348657
93,4,9,"[41.5, 17.0, 10.5]",20.049937655763422,9.924508485344617,GM,2,15.0,1.5953087860150021
94,4,10,"[26.5, 27.5, 14.0]",20.049937655763422,2.97117552334943,GM,2,3.0,1.8446054750402585
95,4,11,"[34.0, 54.0, 29.5]",20.024984394500787,18.232880078830036,GM,2,15.0,2.121434061331048
96,4,12,"[47.5, 6.0, 19.0]",20.024984394500787,25.214576184336522,GM,2,12.0,2.2819745867989596
97,4,13,"[23.0, 8.0, 54.0]",20.0,9.086419440282597,GM,2,9.0,1.442930669659873
98,4,14,"[42.5, 27.5, 12.0]",19.949937343260004,9.927540903983811,GM,2,12.0,1.7632112668379871
99,4,15,"[42.0, 20.5, 21.5]",19.949937343260004,20.604513575347553,GM,2,18.0,2.2038146642959244
100,4,16,"[3.5, 26.0, 35.5]",19.949937343260004,0.18721384919475526,GM,2,9.0,1.3853703313453982
