,time,center,order,type,iter
0,0,0,2.4037356321839383,GM,4
1,0,1,1.8477653602017057,GM,4
2,0,2,0.0,GM,4
3,0,3,0.9463054187191915,GM,4
4,0,4,0.363969363969332,GM,4
5,0,5,6.803894430343547,GM,4
6,0,6,3.8269859636766412,GM,4
7,0,7,5.161235717308571,GM,4
8,0,8,7.579597701149467,GM,4
9,0,9,1.673065189843669,GM,4
10,1,0,4.7638888888888715,GM,4
11,1,1,0.19585629720356934,GM,4
12,1,2,5.076945496939658,GM,4
13,1,3,0.8988011988011806,GM,4
14,1,4,2.2660389154293483,GM,4
15,1,5,6.7389338344298295,GM,4
16,1,6,13.41391512695845,GM,4
17,1,7,6.512005911144797,GM,4
18,1,8,0.0,GM,4
19,1,9,0.0,GM,4
20,2,0,5.239898989899018,GM,4
21,2,1,4.089783991957923,GM,4
22,2,2,7.275870487110616,GM,4
23,2,3,1.4765757666567225,GM,4
24,2,4,7.190785740708137,GM,4
25,2,5,0.6593373188772773,GM,4
26,2,6,5.670871327254275,GM,4
27,2,7,1.378632334340871,GM,4
28,2,8,4.0404553069872975,GM,4
29,2,9,0.09569296035439834,GM,4
30,3,0,2.33678622964338,GM,4
31,3,1,2.5857017982017965,GM,4
32,3,2,10.03002512847195,GM,4
33,3,3,5.806265177270518,GM,4
34,3,4,1.7343380614656638,GM,4
35,3,5,4.089978017585963,GM,4
36,3,6,9.312473323064403,GM,4
37,3,7,3.3021572104018944,GM,4
38,3,8,1.6554746623239822,GM,4
39,3,9,6.567224312388781,GM,4
40,4,0,6.182580733442727,GM,4
41,4,1,0.6377376292983215,GM,4
42,4,2,4.123287671232861,GM,4
43,4,3,9.732580144479215,GM,4
44,4,4,3.434574716471346,GM,4
45,4,5,9.828264873988843,GM,4
46,4,6,0.1111704711024899,GM,4
47,4,7,1.804244366744392,GM,4
48,4,8,2.89198641087134,GM,4
49,4,9,5.630548810102006,GM,4
50,5,0,3.367261904761996,GM,4
51,5,1,2.1339236303264997,GM,4
52,5,2,5.839256633777168,GM,4
53,5,3,8.757332465351595,GM,4
54,5,4,6.205949737835738,GM,4
