,Lambda,Persist,speed,persistance,sum_order,global_order,lcl_order
0,2000,0.4,2.512533582661253,0.5068476198348503,140.58578119550512,4.920905580116686,3.0868913312924477
1,5000,0.9,2.5647955664622755,0.5074418965506853,60.882052059835345,4.980890877744747,
2,500,0.9999999999,2.5609879959453314,0.4912367956794334,52.77782278360657,5.03346988949409,3.347553964296253
3,2000,0.7,2.880883242019722,0.4980453962987567,112.02955596123645,5.639230568209465,
4,100,0.9999999999,2.7796051221689964,0.4908799268743434,34.41692794296473,5.589792772483068,3.871031802598909
5,2000,0.2,2.7565288650765827,0.5043722852681705,169.1507706620418,5.287616126166611,4.067606128820987
6,1000,0.001,2.5528336059290684,0.49599113829813857,126.60456356447489,4.822500669661232,
7,50,0.3,2.5689763205405334,0.5017952315698512,127.97544658504438,4.917940659829645,3.543065509909501
8,1000,0.2,2.7490769590077546,0.5109706201978942,147.56109365641578,5.195091277936785,4.531774689703374
9,2000,0.1,2.7171894863299126,0.4905852726819904,90.19650695379879,5.235707521238919,3.4983162437464688
10,5000,0.5,2.761524306604331,0.5025793216203877,259.3841539361576,5.364313284443958,2.3645625007118216
11,50,0.1,2.391131582369907,0.4952527066999936,107.06356095858762,4.553576989807121,3.1418930530865743
12,50,0.2,2.9229798877244777,0.49170955734446337,48.84876968638803,5.792931730172326,4.599406113677033
13,500,0.8,2.2712491746527013,0.5141302487209976,188.38925074444987,4.223695736849319,
14,500,0.9,2.958814694366818,0.5043406975941204,199.76332013764673,5.939414889272004,3.4373012915467047
15,2000,0.3,2.6683957123524054,0.5042997065346895,173.9495817760439,5.249507076028286,3.8273920510906514
16,10000,0.4,2.1818960199765236,0.5131137291002729,77.51712173997795,3.935608015936628,
17,5000,0.7,2.8994740768251765,0.4983935755766126,230.02766701113381,5.8925993776137595,6.091260160874485
18,500,0.1,3.001763617394633,0.49622402346742894,107.05920140874697,5.990214179279336,5.012973769407215
19,20000,0.9999999999,2.8976094891181567,0.5017769535221108,96.86378812061989,5.686801534678092,3.1474044798322494
20,10000,0.7,2.7099308520293426,0.4983522889204284,146.2629579002468,5.1210024208003455,3.9336394969973814
21,100,0.001,2.389175311396302,0.5093671731988679,131.55019976236056,4.50948630399193,17.299514131430858
22,2000,0.6,2.768783401976123,0.5057181314865539,157.9466406372746,5.345278014851468,4.188450035364531
23,500,0.4,3.053223600994625,0.5040213570097066,131.03810389934046,6.270874466441117,
24,20000,0.4,2.4127621667998818,0.5053605899326515,139.42210994341283,4.55255775072833,2.945807346545975
25,100,0.5,2.8279523436322047,0.5004643603067032,151.88246128638798,5.6385017206475565,
26,500,0.001,3.2879662045659694,0.49044448206196095,97.1009292827952,6.827315461947529,
27,50,0.001,2.760423947820628,0.5059712252224369,47.1767057255038,5.439845914101082,
28,10000,0.001,3.3360011257089055,0.5046986207985465,111.64208903654769,6.7046372301906985,3.7974478666642346
29,100,0.6,2.8456983489542194,0.5123795289707308,156.0686717150476,5.607816494424045,5.188574155668606
30,1000,0.9999999999,3.080107037017659,0.4977334860792753,153.7782902533158,6.202012014968348,4.182861746657937
31,500,0.5,2.5725577462918428,0.5023503199008551,164.8856122575182,4.977954789198179,6.43295293880701
32,50,0.8,3.2208364674882075,0.5033012447589807,144.94259577568587,6.569367077872561,5.6338616983245675
33,20000,0.7,2.6762223628419846,0.5011656470161134,109.98205151384175,5.0162665418761,3.7983728834946384
34,100,0.3,2.9201786118285775,0.512772062324862,132.62503791372995,5.7387715902492,8.427060599965978
35,5000,0.001,2.432957998877609,0.5009185142725925,223.1339554900314,4.64019999618816,
36,100,0.9,3.010516085268137,0.5026692333553461,146.32431194667097,6.0359856483556635,5.114001568883745
37,500,0.6,2.54245231224357,0.5021432158131338,81.39320737611646,4.850822104380453,
38,10000,0.9,2.855666554503754,0.4939277018769111,111.56343546759999,5.719252239176905,3.1355974385773098
39,50,0.6,2.287900061654333,0.49902028854725505,102.18490449083657,4.257964250426311,2.980027141869905
40,5000,0.8,2.5454943463794635,0.4950298829383526,104.79427400671582,4.858816302659552,
41,20000,0.8,2.731931260562983,0.505649987695944,70.25207405326674,5.232996772391113,26.146332549757965
42,1000,0.8,2.58567432534359,0.5094529195926172,98.56599712730191,4.932288537833445,
43,20000,0.1,2.9290921230971003,0.5119946655363573,140.68713936742583,5.6830747873931,4.740557131693581
44,5000,0.9999999999,3.059896233365692,0.49960927773978575,122.06770382670194,6.11593535916091,10.650774748539058
45,100,0.8,3.047887590398325,0.5004024249819281,267.63826324640075,6.056035430560844,5.108256509424113
46,100,0.7,2.745444501914138,0.49571176147325563,152.42683458804296,5.476134050137136,3.9332267613899106
47,20000,0.001,2.5900483394478693,0.4919342238447781,258.664985711359,4.833387760690613,4.956748974270921
48,20000,0.3,2.7702871526557824,0.5035081944926038,25.04334850784666,5.468988973116218,3.5396375215228106
49,20000,0.9,2.91206047739562,0.5140175999585848,186.2498449203535,5.819814897618476,3.1219805287496216
50,10000,0.6,2.632506650187461,0.508720181162622,90.96274033501604,5.126822283545288,19.007145350765835
51,500,0.7,2.7124497413924593,0.4846633641386524,124.09317310805585,5.36719216032798,4.695331879318147
52,10000,0.2,3.055969858641953,0.48544449743476475,79.56064074374694,6.1384730026720495,4.250016415487856
53,5000,0.4,2.7482995743075707,0.5018296646076563,155.4613751243556,5.331790726861223,4.14145929907493
54,5000,0.6,2.9744756592277426,0.4955283123134529,39.15142346145696,5.954837765459109,3.9846613227267635
55,2000,0.5,2.2475614629498586,0.503028052569987,99.6966867407977,4.075376770100108,3.3289892076564604
56,10000,0.8,2.7741760408458043,0.5070000620257292,84.89132552703522,5.447770855496478,4.79537864463344
57,5000,0.1,3.2266621858106195,0.5110839605929652,175.9613486870391,6.690453220916871,7.0272912879105816
58,1000,0.6,2.679971460121848,0.4993007870843047,36.815449861788196,5.170145508376196,4.793281810461417
59,100,0.4,2.9691996338407667,0.5065447243383416,171.80779532983783,5.918023258476658,3.270984934457272
60,5000,0.2,2.4644557890233503,0.49741807439306757,67.56208864609074,4.684260311689067,4.182912112585852
61,20000,0.6,3.0114161698610906,0.48999708534520053,115.29284139901537,5.9713294673904445,
62,2000,0.9,3.1768084522627364,0.5041998257634751,205.4674983694287,6.32238105932878,4.736732786001201
63,2000,0.001,2.849463301469153,0.4998643946561754,127.84001534727484,5.832055124417427,
64,1000,0.5,3.1329504175680714,0.4981904493656937,182.68442560303063,6.4964466459830295,7.697996182430097
65,1000,0.3,3.3946454682966953,0.4934112791387646,224.95593560131041,7.037218583932722,
66,10000,0.1,2.8192576318472247,0.49760614299881417,150.36852157938546,5.606135074130012,4.285820457529209
67,2000,0.9999999999,2.9401888603653714,0.49864967157162515,112.16218931831848,5.863847573499713,4.517398896911273
68,1000,0.9,2.6774626121253657,0.5027262883632578,73.35522596895224,5.180021920987906,2.695220309014963
69,10000,0.5,2.8059613540733754,0.5082461444749193,195.50347916158404,5.446649606765703,5.311397731883495
70,50,0.5,2.6879830331975127,0.49197808386864034,150.3499987913681,5.231814521818683,
71,20000,0.5,3.3887934329074927,0.48178892062244105,107.33716707263481,6.915505816088622,5.353182017303847
72,10000,0.3,2.6324669021724776,0.5039491040536689,173.30532281696892,5.056811448516139,4.482076825358242
73,50,0.9,2.445404304657341,0.5018982437996263,72.89777414376,4.756562814624816,3.8323295050662884
74,50,0.9999999999,2.9938794360135117,0.48579042304029635,175.06972045785432,5.831210737989086,3.530986227604398
75,20000,0.2,3.0062019480902946,0.5129459504983614,92.1024508345975,6.046568544315759,
76,2000,0.8,2.6926743687984698,0.5003964935216227,133.29046831976405,5.278351122492532,2.3336281721410863
77,500,0.2,2.2948674573153753,0.49998396213740853,102.73587894688599,4.328045849053176,
78,1000,0.1,2.729347932958946,0.5081819892502198,233.48221808759638,5.214396631144917,3.2048006246158782
79,5000,0.3,2.465822374793037,0.48963843404388213,105.83115194425851,4.724271226888122,3.3577010530661093
80,500,0.3,3.579859806599313,0.4845958652213928,139.15111149609962,7.288872687930145,14.283265515319544
81,1000,0.7,3.0960888633943173,0.4997931423244817,308.58966245072196,6.182338846181406,4.951335557522985
82,10000,0.9999999999,2.8849893723345,0.5024026896473743,45.07007798925598,5.663530917557575,6.205851760284657
