,Model,Density,speed,peristance,order,lcl_order
0,ACT,0.008,16.10461497173104,0.42917818106144645,,
1,ACT,0.096,15.319034521800342,140.28616213286185,-0.00041604638754819454,0.05289177813272826
2,ACT,0.296,14.901625114946205,229.33269451745912,0.00029809053732365,0.045569601931686715
3,ACT,0.2,15.099055541437352,197.66018213880406,-0.000139604576351942,0.03833329011629185
4,ACT,0.496,14.651628795215041,161.1151282462545,-0.0007026062308092374,0.03816945730272261
5,ACT,0.4,14.789119331874318,152.39168904539713,-0.0010037369356781177,0.04247444843530275
6,ACT,0.696,14.392204019648048,182.47745980764606,-0.00012594832380226443,0.03733845286836742
7,ACT,0.6,14.55121809656035,204.82618588187276,-3.158769088386197e-05,0.037858809209197174
8,ACT,0.896,14.227122297521266,163.7354039725071,-0.0001396906569743347,0.03596708918602868
9,ACT,0.8,14.306413684309376,139.00465745821197,-0.00046315112070739967,0.03685008730897099
10,ACT,1.0,14.150184949249988,167.88389116867478,-0.0006803464814876644,0.03583473838966194
11,PRFDR,0.008,6.826827924806617,0.47203707633562303,,
12,PRFDR,0.096,5.750806742591749,96.63619371792913,0.0005007451597991557,0.005634135362244284
13,PRFDR,0.296,4.155766215376426,211.45277375680368,0.0011332073360572558,0.0023191562501061742
14,PRFDR,0.2,4.703362757043218,166.0467199594398,0.0009789881570619369,0.006315863952438798
15,PRFDR,0.496,2.7994906113528333,160.83680818821367,0.001133821957391374,0.004204502791812992
16,PRFDR,0.4,3.247702897059478,151.18498809648986,0.001107359952608822,0.00393674831480595
17,PRFDR,0.696,2.5563655112629484,170.6505348097708,4.119531790687984e-05,0.002239950483510859
18,PRFDR,0.6,2.655981467692126,190.92681939153155,0.0002436268169100243,0.002674997850540866
19,PRFDR,0.896,2.253470175877996,154.10305721168132,0.0008294533138858921,0.0035496956372542254
20,PRFDR,0.8,2.3937384894604667,120.37654443007398,0.0005497388858391889,0.0031439041520587526
21,PRFDR,1.0,2.0769456897024714,142.3514550853523,0.00074930989085217,0.00302641830290215
