,Lambda,Persist,speed,persistance,sum_order,global_order,lcl_order
0,2000,0.0001,0.7889306227668267,0.48654963013173197,47.86149879252307,2.232686332006567,1.166600683598759
1,500,1,1.0096480160658299,0.49239852300791775,63.86843630116179,3.2920585296737364,1.1374799582603992
2,750,0.001,0.76860699386216,0.49882146842735536,28.7144841381026,2.11284875582536,0.9405951274291131
3,750,0.00001,0.788795581972224,0.5051946637408646,44.618011808884674,2.0627152629717265,1.1693811637090799
4,1000,0.001,0.7940932430198883,0.5070372051222384,27.761653290658543,2.145469931828098,1.3217706772868905
5,2000,0.000001,0.7833280506731288,0.4957940646948414,27.947898350720703,2.1366000536192917,1.1759583238483344
6,750,0.000001,0.7659576831012905,0.5032832926518448,30.076391406218868,2.0425629572986206,1.1196376183917371
7,500,0.01,0.8457397716998246,0.5039902764357207,64.82770676954136,2.5364480776405385,1.0615660208379325
8,2000,0.00001,0.9311897786172703,0.5000662961611518,96.93085806101405,2.773628098338333,1.362456691090023
9,500,0.000001,0.7910262292044535,0.503854100580787,78.10488503939429,2.137259732617876,0.9765983029313653
10,2000,0.1,0.9665291015411426,0.48746640510858597,126.59219737635061,2.983362422247883,1.642994508299776
11,3000,1,0.8077809636702709,0.49772767283404035,48.28520209082292,2.186878371939892,1.3001169286554144
12,2000,1,0.8883237002093963,0.5090153131817495,47.0371888181395,2.7465906127898867,1.3736552386922178
13,750,0.0001,0.8819962947417943,0.4996568114621227,159.74746166927778,2.7906741989083197,2.0105817999096494
14,4000,0.000001,1.1391494068039432,0.4894828489679616,125.17631671414838,3.5490016140648963,1.4336684269586566
15,500,0.1,0.7052294515558957,0.5054983908453201,66.50859468417876,1.7811770147198842,1.1810223145578105
16,3000,0.001,0.8201338903606978,0.49961131659478974,23.55073105730112,2.3121269908766755,1.173202606140922
17,4000,0.00001,0.734844051809901,0.49636361510202204,38.00736382088794,1.915433056659364,1.0598626567663454
18,2000,0.01,0.9380976928267674,0.5011027926123026,60.583225401095994,2.9108291184125163,1.179751908614096
19,500,0.001,0.8635445779707359,0.4977338334986406,68.57324940042818,2.4087605064531554,1.4226097629642265
20,5000,1,0.8906068034307413,0.4990914061918455,38.55757507363184,2.530743000578142,1.6462925226066232
21,1000,1,0.82972645236237,0.4902986744353905,61.2489303307957,2.262183892180848,1.2863952960257168
22,500,0.00001,0.8230000418076225,0.4924827967773125,65.74845701611558,2.168508943775231,1.2488385252290937
23,3000,0.1,0.8548842324403673,0.5093480800326482,91.82292630945918,2.5532938439339956,1.5089480366146366
24,5000,0.001,0.8741105919804231,0.49915228268917944,37.02034063232828,2.449514555979688,1.214340314491018
25,1000,0.00001,0.9788416119436987,0.5007924639479306,47.04967264541407,2.8630506362365513,1.3636802244886848
26,750,1,0.8648265280967198,0.49663221098503935,35.69786984720032,2.39205555666587,1.2404525325078042
27,4000,1,0.7785527373214401,0.4988311837558535,20.438309345170612,2.0483341499465566,1.1536193496761031
28,750,0.01,0.7782835418657819,0.5009651930008615,36.441823083511736,2.05674892540889,1.2362062527103186
29,1000,0.000001,1.1290353083309823,0.500875695544701,22.087588269332525,3.577423373114396,1.3831196730755246
30,3000,0.01,0.7153393917616161,0.5121071871201504,73.98947722119787,1.8679179297284658,1.1548245566543303
31,4000,0.001,0.9925774100680558,0.4952170897629626,154.13766734350133,3.201527708918905,1.2484215635627032
32,3000,0.000001,0.9541787495195557,0.503635882081748,193.41800271603762,2.890906467224227,1.3891038106240612
33,5000,0.1,1.015100769866399,0.4954404285020306,44.71880539052399,3.363723015158745,1.5555675820385493
34,1000,0.01,0.8427028628831807,0.50181750659165,52.558869248124914,2.404742545552957,1.2726282617527218
35,2000,0.001,1.0685740243035193,0.48850376868356443,101.08272061746783,3.4309108970480287,1.3551266887388076
36,3000,0.0001,0.7469355275076884,0.4961186981371788,53.482716211252274,1.9089564824546645,1.0842538995687772
37,1000,0.0001,0.7441076540893382,0.4894444232488682,68.33886611747543,1.9725158315614755,1.015949389740522
38,750,0.1,0.8859457805477869,0.5009618263018802,15.361846684319596,2.5297246700758262,1.399866793450972
39,500,0.0001,0.7721625121376213,0.5042937663076275,44.548869545452874,2.0036005358690923,1.3041003171982204
40,4000,0.1,1.0028917962351194,0.5030051188408652,85.58830371805095,3.148543764900182,1.7242175141412017
41,5000,0.000001,1.1230154613623915,0.4924659594494117,82.00149077235663,3.8369509018786148,0.9708860023617185
42,5000,0.0001,0.8865263893738828,0.4996569287650856,153.09795709979173,2.5449589364866427,1.1557513383022249
43,4000,0.01,0.9965613262678478,0.49190471571008293,83.53613349922277,3.1631496132500647,1.6900625382339802
44,5000,0.00001,0.7738459536581954,0.5000153773529287,41.03444731767037,2.193647821885718,1.3870368694926294
45,1000,0.1,1.0348544497251901,0.492882292299676,28.073786903642198,3.1021055286954473,1.774176150089138
46,4000,0.0001,0.6542687865124204,0.5092004416648404,68.41962129227089,1.6483994104174706,1.0787326151897048
47,5000,0.01,0.8152424381783482,0.5054103602809571,60.14889081825752,2.3310289222600296,1.0887074202194453
48,3000,0.00001,0.9117575521149288,0.4986357251606055,33.40448924836122,2.4186032611605297,1.2972636760061587
