,Lambda,Max_act,speed,persistance,pooled_pers,sum_order,global_order,lcl_order
0,200,0.8,2.0692264478815208,1.6342988166610308,1.6319365526915193,243.44859449267253,6.122611248102724,0.3061739797831131
1,300,0.5,2.521589818142116,1.3523520822841901,1.3474032311359356,295.31354342186114,7.408993012638247,0.36638509074878944
2,300,0.6,2.519517122489536,1.4414513022184223,1.4379275662275268,334.70651287398135,7.4409285877308315,0.3524029795758801
3,300,0.7,2.5288720063862122,1.6268861834014956,1.620603557358049,277.8532537403968,7.563975592247106,0.36210548553699157
4,500,0.8,3.184327872607634,2.6747184041094374,2.6715517971427545,335.9535162365291,9.251992932478363,0.4509599881792112
5,100,0.5,1.355285908917095,0.7632072360271194,0.7625528904530845,288.2680048304396,4.20517499123147,0.18621307152060695
6,20000,0.2,5.8083485471034,1.735164045629721,1.730474660568011,995.7206651686543,16.87360316239629,0.8585019066489967
7,700,0.2,3.509325812477428,1.600915753245135,1.5991924596675733,621.047382871573,10.801063849415003,0.5222088137314413
8,500,0.9,3.211027539405576,5.914369211319413,5.8381012251329025,1438.0730936884363,9.921130890745896,0.4939473083950379
9,600,0.9,3.4076722214060085,6.018421295077542,5.977983908915128,1079.4600819277327,10.785423927727008,0.46689320506337484
10,500,0.1,3.1138447047837587,1.3578807181861603,1.354964747280044,622.5542070117532,8.872022269260789,0.4436939907024899
11,10000,0.3,5.685244937942267,1.8817872059843517,1.8781638149425843,494.00274865804226,17.191217053128486,0.8282722050816257
12,400,0.2,2.875323186008301,1.3099590557857461,1.3085641547686988,270.2172263135519,8.92099226177958,0.36805688657148866
13,1000,0.1,3.9721654761559737,1.680744146451083,1.6761450426719764,681.1152440928659,11.740319911350868,0.5705713867240689
14,400,0.9,2.933119845476919,4.921531677973733,4.814214501883209,651.85562485276,8.196566551580556,0.42216602582779544
15,20000,0.5,5.867635912913896,2.192099972991009,2.1788019124565965,583.290047622107,18.198378026751815,0.8580518500581589
16,600,0.6,3.3670291110033426,1.8057858617394298,1.8043656829290595,351.05802845256864,9.886010835749756,0.49579282872984304
17,800,0.3,3.6954734505250193,1.689654449263848,1.6850504387432874,617.754883475246,11.252683124480345,0.5420386687853465
18,800,0.1,3.669013321457919,1.5804141138769838,1.574485787904948,504.4436966333211,10.976059151513613,0.5368750404086549
19,900,0.4,3.8563347552201224,1.804106847969202,1.7997729581788162,210.14182164248396,11.88927842883495,0.5442604554525476
20,800,1.0,3.7325470921050288,100.0,100.0,5929.7721268724845,12.173799839701648,0.7980402659766852
21,200,0.4,2.0379067325998017,0.992346144412466,0.9817629485735923,153.25896199769633,6.327243124633408,0.2787099965558386
22,5000,0.4,5.387703363210634,1.9653463196598229,1.9449667257182015,928.918837208653,15.607024371934683,0.7406365271862697
23,800,0.7,3.750769032535273,2.473593352973463,2.4658429419945627,283.6095781383918,10.550130600395917,0.5223469895549832
24,2500,0.4,4.954194454685534,1.9671181169675687,1.9516445181801065,586.9411733653652,15.405847859462998,0.7234069533426157
25,600,0.5,3.351948458279559,1.7588542213886682,1.752253942154806,367.21227311206985,9.773750911991813,0.48021200348291976
26,500,0.5,3.1367739078508516,1.6176160425669177,1.6162174035417527,630.4599098735542,8.866412587380015,0.4619720197371507
27,10000,0.1,5.647081923796546,1.7252979350180015,1.718310857830002,657.423040935787,15.668840468502133,0.7850500570549522
28,300,0.3,2.4927100227486054,1.2005098595606145,1.1994597204756334,216.93996332648544,7.399679412381156,0.35548428368965496
29,2500,0.6,4.963952256997848,2.479697541743668,2.470865163674048,793.5079125371564,14.167557401389415,0.7065321330813442
30,50,0.2,0.8709435390354016,0.5698874046886224,0.5692423424242369,20.93168136721574,2.971761956599436,0.1235737433763234
31,100,0.6,1.3728557398865073,0.7981344369155194,0.7964397156757744,126.0011726147721,4.097336389295332,0.1936719593714141
32,400,0.3,2.867946025841679,1.3641147683693877,1.3594208648193717,129.995642367126,8.56758885419797,0.41028313428107954
33,10000,0.2,5.673640617714619,1.7463037998614503,1.7425953911687935,536.3111817246385,16.80287674014297,0.8016740343786879
34,5000,0.1,5.343830419299819,1.7322148957933556,1.7292762985133494,571.1491718921131,15.369448080461689,0.7844475678750865
35,20000,0.3,5.811512092928017,1.808984187891662,1.8075122954386105,1218.359597816419,17.168894423375775,0.8685151302825956
36,1000,0.7,4.018786580423867,2.6467741286627366,2.6305801064195533,412.136728709052,11.718592219110297,0.5841615822753917
37,800,0.6,3.695229483020387,2.10745564513216,2.098948760295964,595.9945103118439,10.686012682487256,0.5054042545308128
38,2500,0.8,5.004321899682123,4.114847057804983,4.082624150081825,1201.334163870618,15.361792792914047,0.7170073377891477
39,900,0.5,3.8584382123297556,1.8912142708122297,1.8870815039514142,432.305557812678,11.245971728901642,0.5527049323416111
40,700,0.4,3.520884957480053,1.7050479678526849,1.7021201059130928,351.7324218267217,9.756059073163785,0.487516445690604
41,50,0.7,0.8290738058727642,0.6278053863314558,0.6274113419211803,51.734882158684066,2.509489738183364,0.11423172518276202
42,400,0.4,2.878012597418797,1.431973022750667,1.4316386464080475,387.32771206739454,8.521639033714195,0.4254265086354848
43,800,0.2,3.7151101413769396,1.614295697902286,1.6124991143352545,167.62182227445538,11.162767061331165,0.5028781332781134
44,700,0.3,3.541134744069711,1.6027903076458976,1.5991965772349177,352.4131090372097,10.449921421492594,0.5086850357927524
45,50,0.6,0.8353501083703051,0.5915801639224979,0.5911162675691893,50.21424061176957,2.6307708517545185,0.12437099044889526
46,5000,0.2,5.365048312097363,1.8051182657625824,1.8018499714075578,425.1418863568294,15.867749826338528,0.7465159156814531
47,5000,0.9,5.54515561880643,10.653781940291802,10.328192313149485,912.4574047713908,16.25708661268753,0.8786942594713549
48,2500,0.2,4.909195380937271,1.8169883660113098,1.8148289521720102,714.3720015564301,14.273097400122433,0.7155883773501263
49,5000,0.8,5.512341117472203,4.493326529950715,4.475368721897141,1596.1364637177314,16.747293308094385,0.764150359140522
50,20000,0.9,5.990666121758562,19.044948382836914,18.71561445547999,2759.3737043976566,16.644326160629753,0.9493902308027825
51,400,0.5,2.848434033209745,1.485638383347209,1.484405936743865,483.16121952113224,8.39928431329304,0.3900367193471154
52,1000,0.3,3.9660641522992726,1.7700554675418787,1.766117075974377,857.3293652287424,11.6367098298895,0.5467873998503096
53,20000,0.7,5.918362383514571,3.1983536539337867,3.1635564280530684,440.00146899907475,16.797542533954726,0.8740983546075713
54,200,1.0,2.0319930263408095,100.0,100.0,3177.611850965056,6.622236406819311,0.4029434912020863
55,500,1.0,3.1597531947661097,100.0,100.0,5539.713044817677,11.425274557959082,0.7876625025193921
56,5000,0.7,5.453666229282346,3.0138072188469183,2.9878201046122896,516.891112534631,15.035633561194492,0.7774462116344527
57,600,0.4,3.3665761170647412,1.6112333236787297,1.6071049337023253,393.0868090520584,10.08812865174557,0.49173962103683966
58,10000,0.4,5.693903727099026,1.918886863052731,1.9048248613237881,749.1649974822782,16.676466129899552,0.8358251472607583
59,50,0.9,0.8571665849976745,1.0548801194039563,1.049895554461992,75.59399958651943,2.5433803170629568,0.11970177780918273
60,100,0.3,1.368119937476689,0.7184791627161241,0.7178383061174439,58.760722195220694,4.289433367589558,0.183317097105189
61,200,0.1,1.988884982152463,0.9265078407946502,0.926141460388517,211.19678747982599,6.063327403109941,0.2946845389777995
62,700,0.6,3.5668160153599504,1.9315163297720006,1.9245355048033184,758.6250576694928,10.596799341854476,0.5053111786426029
63,20000,0.6,5.90507560376396,2.4404859701978197,2.430512466144467,1223.2775232006697,16.974730244207556,0.8490073933198079
64,1000,0.9,4.054572353404642,7.486267240318938,7.427881458094445,780.6688498583919,10.881007655748046,0.637914074748722
65,800,0.4,3.7008989788081457,1.7570629561245927,1.75526709096011,511.5241403669597,10.673921019219069,0.5381281609732403
66,1000,0.4,3.97971497679684,1.8241031841381652,1.8189478627876638,481.3841046336407,11.52119830885213,0.5445217928430497
67,100,0.4,1.3742069525542648,0.7342452632514063,0.7325058683006477,144.64076660946284,4.335345731038516,0.1887423567904246
68,900,0.2,3.842837259397748,1.6482339863488413,1.6419224906371106,203.50371830842144,11.0202160669116,0.49839027805016617
69,900,0.1,3.8000551899438726,1.6625263792469411,1.6598100820105277,247.8939381264327,11.7701248298124,0.5609117846351028
70,20000,0.8,5.9749051729699225,4.868525664116499,4.8106704368183975,1291.9043346573906,17.690482433231637,0.8444941864202388
71,200,0.2,2.0199917709795723,0.9173761613402605,0.9162435274969564,283.84503573292744,5.931277008982172,0.28449854185296436
72,50,0.5,0.8383217841465,0.5882007399329648,0.5875065181173513,111.25588755075921,2.8099520335835915,0.11092954130600573
73,10000,0.8,5.7838397168958995,4.720956122584505,4.623371490371907,2617.6735573969604,18.105075049822467,0.8575602525022273
74,600,0.3,3.3275410497386693,1.5389492084938907,1.5357881840667753,512.7036235284877,9.884557449640882,0.4683167303987103
75,500,0.3,3.1349163509087568,1.4587634604088253,1.4565591034994794,181.5750362024509,9.527806058419886,0.4155990716539798
76,200,0.5,2.0300089556214136,1.043003318299672,1.0345196650637505,248.70839990439205,6.176716786553538,0.2864649556605404
77,5000,0.6,5.4327762398182875,2.5521797093027048,2.5389847348415158,1016.1610196854473,16.976924941432028,0.8177335864128744
78,800,0.9,3.7707234792327027,6.485128355295349,6.411439024311521,841.6712979426441,11.17088366844701,0.5379306852691091
79,1000,0.6,3.9928914501683415,2.1648529523475815,2.1598414750383994,785.7238006135323,12.063313868818264,0.6059768027974678
80,20000,0.4,5.851021451981079,1.9682156264567756,1.9535717593699469,596.185671029643,18.10324741245516,0.8499767710325441
81,300,0.1,2.481537512056044,1.1176070231163255,1.1183083945565953,169.5116318984982,7.179984938054658,0.3355747283683858
82,50,0.4,0.8281511399262266,0.5747818357306629,0.5744726786713933,70.56877728127736,2.7460932849697226,0.11446966893955697
83,400,0.7,2.887104010784527,1.847434731691663,1.8430404647937555,339.8236400839968,8.829047262567949,0.40628219591898546
84,1000,0.8,4.019571027594905,3.4991717042795103,3.4357645716246923,327.1517964522593,11.486712695024583,0.5514250764415404
85,600,0.7,3.3888707677524237,2.1665313501694934,2.15660270740095,643.0520560812876,10.141209557384942,0.48506460175353666
86,50,0.8,0.9237905672177518,0.7027926004545029,0.7018291663216594,35.371491312247535,3.226360111493828,0.11735600082902718
87,500,0.7,3.156073898579167,1.9790737534699463,1.965036462547361,615.6868923204,9.352828941651135,0.42107506227298536
88,600,0.8,3.4155823776600927,2.8883567730742277,2.8676899960139632,866.072399794083,10.307447080817763,0.4771385584275724
89,10000,0.5,5.702235127746489,2.149659265616463,2.142913413486766,640.0703701346849,16.010842345974865,0.8450962866573658
90,300,0.4,2.546553473900903,1.2344309087999685,1.232416210183553,396.3995874462993,7.499739764528034,0.36373226835126193
91,50,0.1,0.8065954039249922,0.566919011004194,0.5666211825958368,87.89022222488097,2.585262062476775,0.11251955811731496
92,300,0.9,2.595274585576674,3.973091517222238,3.946633611595453,467.8455931585614,7.943526814269324,0.3936005354904726
93,600,0.1,3.3436400952910454,1.4541692918766111,1.4525847021740024,263.6505789207257,9.86297731744777,0.47238067084135316
94,300,0.8,2.545357189950215,2.095924930781558,2.0880382522372996,274.6805077453503,7.44406117346421,0.3545155516922929
95,10000,0.6,5.714626580759948,2.513409065851783,2.5100589857909332,795.9268415096631,17.392539686572146,0.8343297118658363
96,100,0.2,1.358909206073467,0.7111258397421122,0.7104894896416403,89.4221409482155,4.347111972220215,0.18762108107240383
97,500,0.6,3.1598881053905417,1.8253202975422624,1.8213098994158998,642.0981363989173,9.182682321037944,0.44510348547878525
98,2500,0.1,4.916914612608807,1.7234709405135569,1.721186522134328,322.08807406557366,14.764949586130658,0.6994725319898111
99,700,0.5,3.543396809853708,1.759051490287078,1.7566520926625064,407.76009752928906,10.62599012627652,0.49724662677173803
100,2500,0.3,4.922513648442238,1.8891014182231807,1.8791058709490533,563.9905755282056,14.588726176112528,0.7207688465206109
101,200,0.3,2.0405627246875815,0.9901580597775286,0.980437200074668,188.41919696683277,6.2445753581835515,0.27462333821209267
102,900,0.7,3.90011970203202,2.5797727143052485,2.572012120596479,173.0951659552501,11.192140311115232,0.5347474143146413
