,Lambda,Persist,speed,persistance,sum_order,global_order,lcl_order
0,2000,0.4,0.4710514269241931,0.5087879241223449,9.308716990004566,0.4710514269241931,
1,5000,0.9,0.752933243962261,0.49067166926664274,23.427192832262268,0.752933243962261,
2,2000,0.7,0.7266296912816184,0.5200146946976736,9.633964085463464,0.7266296912816184,
3,3000,0.8,0.6106678926899993,0.4956272466099352,14.575143498435942,0.6106678926899993,
4,500,1,0.7187695050479326,0.470128986303829,17.65130012208731,0.7187695050479326,
5,750,0.7,0.8346503996560174,0.5174829665156764,27.64410805996422,0.8346503996560174,
6,2000,0.2,2.3415931904605616,0.49465268197624057,23.03082925124495,2.3415931904605616,
7,500,0.01,0.9509391173969218,0.5169134354618095,21.41898653064613,0.9509391173969218,
8,1000,0.2,0.5241960895686163,0.5105100799006452,1.7724401259281228,0.5241960895686163,
9,2000,0.1,2.027976368572398,0.5020571677203443,13.902978961359327,2.027976368572398,
10,3000,1,0.5652178472846369,0.48345249814053076,12.528992617126109,0.5652178472846369,
11,2000,1,0.5488926606433107,0.5127689291738599,12.188969603703171,0.5488926606433107,
12,5000,0.5,0.6271177566981857,0.48756329899230166,15.261838683461434,0.6271177566981857,
13,3000,0.3,0.6531776912393963,0.48847640677644844,15.90935636661649,0.6531776912393963,
14,500,0.8,0.6487384006026204,0.5089568633108456,16.231623085816167,0.6487384006026204,
15,500,0.9,0.5381386250749387,0.4968062491700024,12.272316162811308,0.5381386250749387,
16,750,0.2,0.580743798221422,0.5025716906306001,12.22890345220812,0.580743798221422,
17,2000,0.3,0.5355909511380902,0.47791625310687214,11.065319154909172,0.5355909511380902,
18,5000,0.7,1.342027235204379,0.48326561911345217,28.240225282387502,1.342027235204379,
19,500,0.1,1.0130466412119359,0.4953377368635664,28.980388265169914,1.0130466412119359,
20,750,0.6,0.6614352659238282,0.4772764187141547,2.648206185326206,0.6614352659238282,
21,4000,0.8,0.7264811806868227,0.47452492259559126,25.33387589769871,0.7264811806868227,
22,2000,0.6,1.7892245574118675,0.4711998252689425,14.817331203695174,1.7892245574118675,
23,500,0.4,2.0080581047083044,0.48001207747691194,24.338851739554148,2.0080581047083044,
24,2000,0.01,0.5363316990561754,0.517429239528898,21.88166547591845,0.5363316990561754,
25,4000,0.6,0.631321077830879,0.5188354660873815,24.86700995294771,0.631321077830879,
26,4000,0.2,0.6701117564915399,0.5147776551830351,16.78750201787031,0.6701117564915399,
27,750,0.3,2.2518837997335375,0.46634832027622086,29.425512781751564,2.2518837997335375,
28,5000,1,0.7773451885209068,0.48951905636074167,24.710431967086308,0.7773451885209068,
29,500,0.5,0.62388550426975,0.5088812836374247,13.956070220516946,0.62388550426975,
30,1000,1,0.7416741391533553,0.49601145920987205,32.45479101766022,0.7416741391533553,
31,3000,0.1,0.5647633341323017,0.5140215277615746,8.308066923177735,0.5647633341323017,
32,500,0.6,0.4932555339276214,0.5086137399718773,17.71581965092153,0.4932555339276214,
33,5000,0.8,1.8786261748649775,0.49520747748881605,11.134447808490481,1.8786261748649775,
34,750,1,0.7898215492907481,0.5068346526752636,17.28720162432313,0.7898215492907481,
35,1000,0.8,1.0059385777325565,0.49256574953403603,7.994988430260545,1.0059385777325565,
36,4000,1,0.5125151880385858,0.4960920344688014,20.356321376908923,0.5125151880385858,
37,3000,0.7,1.7063269969808574,0.48281117764746895,8.795342858581444,1.7063269969808574,
38,750,0.01,0.4665604673696271,0.4956527024994757,6.572418732856313,0.4665604673696271,
39,3000,0.2,0.7033981503779365,0.504942473454877,5.931203925005456,0.7033981503779365,
40,4000,0.4,0.46619589811340434,0.5319390682676646,9.788995862702144,0.46619589811340434,
41,500,0.7,0.6777919599498663,0.4819208520037018,5.45989413816786,0.6777919599498663,
42,5000,0.4,0.8850515918819453,0.47298128634209907,13.693406588574003,0.8850515918819453,
43,3000,0.01,0.5174774639795526,0.48470338802677215,11.180995662283388,0.5174774639795526,
44,5000,0.6,0.5057052824172789,0.49853411434133593,17.71438759878535,0.5057052824172789,
45,2000,0.5,0.8064265778143601,0.5027348541334342,18.581217398222353,0.8064265778143601,
46,3000,0.6,0.49098454859843843,0.5064411510231476,7.523903508153196,0.49098454859843843,
47,5000,0.1,0.4962862011090797,0.5099337393535243,19.37538758322013,0.4962862011090797,
48,1000,0.6,0.7267935997781008,0.49214095632689747,15.965851308339309,0.7267935997781008,
49,1000,0.01,0.5703206372556066,0.4964568791008334,10.937586861370011,0.5703206372556066,
50,4000,0.9,0.6109043458013892,0.47471583503504505,16.648200263091482,0.6109043458013892,
51,5000,0.2,0.47481433868145967,0.48966822153387796,9.830501309699324,0.47481433868145967,
52,3000,0.9,2.032287440773628,0.5223493650143406,26.990872827680153,2.032287440773628,
53,2000,0.9,0.46342430509269417,0.5173530706364265,18.347830498454005,0.46342430509269417,
54,1000,0.5,0.45032925372402993,0.47321749605874835,4.383210695369348,0.45032925372402993,
55,3000,0.4,1.214950111668642,0.4870974768626143,20.0233980133243,1.214950111668642,
56,3000,0.5,0.5446867170844714,0.518471352946549,14.049627610723329,0.5446867170844714,
57,1000,0.3,0.5640637231560213,0.472278223427533,6.675204865770032,0.5640637231560213,
58,750,0.9,0.6906907648602687,0.5022155303007659,10.980120582215829,0.6906907648602687,
59,750,0.1,0.5513641654959678,0.513934390670137,22.74857929629892,0.5513641654959678,
60,4000,0.1,0.6354040734227935,0.5177368759364362,8.474006372430951,0.6354040734227935,
61,4000,0.3,0.5545424351618359,0.529008756095642,5.060846086921161,0.5545424351618359,
62,1000,0.9,0.6545632913534605,0.5067039361608124,21.639406368937188,0.6545632913534605,
63,4000,0.5,0.4744415989575167,0.5158288759628666,13.499842073150294,0.4744415989575167,
64,4000,0.01,0.502099627408191,0.49721563055782325,9.466772628514933,0.502099627408191,
65,750,0.4,0.7166559783805359,0.5159757389202471,8.663418724729837,0.7166559783805359,
66,2000,0.8,0.9462897792024028,0.5109378413395694,4.375606015170957,0.9462897792024028,
67,4000,0.7,1.7747520143166147,0.5065937315870157,7.026263302780535,1.7747520143166147,
68,500,0.2,1.458517494087872,0.48321349297686006,9.018942066561928,1.458517494087872,
69,1000,0.1,1.3841818054431874,0.4697099580160288,6.963136362301104,1.3841818054431874,
70,5000,0.3,0.5297082063299072,0.513375918359422,10.252914902602027,0.5297082063299072,
71,500,0.3,0.7174070863347933,0.49452157532128155,20.73740205522376,0.7174070863347933,
72,1000,0.7,1.6496941148771882,0.47416045389774053,13.596304350815288,1.6496941148771882,
73,750,0.5,0.8657010117479266,0.49661907609840183,21.83951409715885,0.8657010117479266,
74,5000,0.01,0.6524738191905362,0.5124325720859182,12.719752985022946,0.6524738191905362,
75,1000,0.4,0.7174865478254241,0.5222227748985993,29.009504994053252,0.7174865478254241,
76,750,0.8,1.4600669652344092,0.5058833026908786,32.82853031947211,1.4600669652344092,
