,Lambda,Perist,speed,persistance,global_order,lcl_order
0,2000,0.4,0.27261596004465183,0.0,0.27261596004465183,
1,5000,0.9,1.3107604891111948,0.0,1.3107604891111948,
2,2000,0.7,0.8770106083776542,0.0,0.8770106083776542,
3,3000,0.8,0.3715999104399754,0.0,0.3715999104399754,
4,500,1,0.6996972731539388,0.0,0.6996972731539388,
5,750,0.7,0.8945878168756505,0.0,0.8945878168756505,
6,2000,0.2,7.160269302685831,0.0,7.160269302685831,
7,500,0.01,1.3638537365817467,0.0,1.3638537365817467,
8,1000,0.2,0.2802585611447924,0.0,0.2802585611447924,
9,2000,0.1,6.774846527163015,0.0,6.774846527163015,
10,3000,1,0.3195570840762205,0.0,0.3195570840762205,
11,2000,1,0.37207774521488085,0.0,0.37207774521488085,
12,5000,0.5,0.5176659600527943,0.0,0.5176659600527943,
13,3000,0.3,0.4001010698115222,0.0,0.4001010698115222,
14,500,0.8,0.4966510282779823,0.0,0.4966510282779823,
15,500,0.9,0.270557163283251,0.0,0.270557163283251,
16,750,0.2,0.3290777595415334,0.0,0.3290777595415334,
17,2000,0.3,0.323354284497327,0.0,0.323354284497327,
18,5000,0.7,4.826045325225928,0.0,4.826045325225928,
19,500,0.1,3.615182092797953,0.0,3.615182092797953,
20,750,0.6,0.5471533869628276,0.0,0.5471533869628276,
21,4000,0.8,0.8088615603905901,0.0,0.8088615603905901,
22,2000,0.6,5.593798548685552,0.0,5.593798548685552,
23,500,0.4,6.913617511113451,0.0,6.913617511113451,
24,2000,0.01,0.2850184621885781,0.0,0.2850184621885781,
25,4000,0.6,0.772344851722494,0.0,0.772344851722494,
26,4000,0.2,0.8854527285157412,0.0,0.8854527285157412,
27,750,0.3,6.658367201426747,0.0,6.658367201426747,
28,5000,1,0.7133906394280369,0.0,0.7133906394280369,
29,500,0.5,0.39773946532465054,0.0,0.39773946532465054,
30,1000,1,1.4304139667703244,0.0,1.4304139667703244,
31,3000,0.1,0.6823299635151557,0.0,0.6823299635151557,
32,500,0.6,0.27106584329516115,0.0,0.27106584329516115,
33,5000,0.8,5.244459354862048,0.0,5.244459354862048,
34,750,1,1.0578112187298538,0.0,1.0578112187298538,
35,1000,0.8,2.3606944523685875,0.0,2.3606944523685875,
36,4000,1,0.2499933718860217,0.0,0.2499933718860217,
37,3000,0.7,4.055475673313068,0.0,4.055475673313068,
38,750,0.01,0.26757915702229024,0.0,0.26757915702229024,
39,3000,0.2,1.0957770300370215,0.0,1.0957770300370215,
40,4000,0.4,0.22797035925422093,0.0,0.22797035925422093,
41,500,0.7,0.9190316370715321,0.0,0.9190316370715321,
42,5000,0.4,1.9842352882215932,0.0,1.9842352882215932,
43,3000,0.01,0.26835536017706385,0.0,0.26835536017706385,
44,5000,0.6,0.2572680429718401,0.0,0.2572680429718401,
45,2000,0.5,1.1512193423048915,0.0,1.1512193423048915,
46,3000,0.6,0.24668520369951924,0.0,0.24668520369951924,
47,5000,0.1,0.29701765674179986,0.0,0.29701765674179986,
48,1000,0.6,0.5584336185153099,0.0,0.5584336185153099,
49,1000,0.01,0.39782973563426005,0.0,0.39782973563426005,
50,4000,0.9,0.3820723236179749,0.0,0.3820723236179749,
51,5000,0.2,0.24526863173906857,0.0,0.24526863173906857,
52,3000,0.9,8.572832267615567,0.0,8.572832267615567,
53,2000,0.9,0.2417887271084067,0.0,0.2417887271084067,
54,1000,0.5,0.23717247221355045,0.0,0.23717247221355045,
55,3000,0.4,3.8533118082880806,0.0,3.8533118082880806,
56,3000,0.5,0.28030419110765054,0.0,0.28030419110765054,
57,1000,0.3,0.26866609464597097,0.0,0.26866609464597097,
58,750,0.9,0.6583803237468672,0.0,0.6583803237468672,
59,750,0.1,0.2906275075735988,0.0,0.2906275075735988,
60,4000,0.1,0.8178014282650978,0.0,0.8178014282650978,
61,4000,0.3,0.2881174677587797,0.0,0.2881174677587797,
62,1000,0.9,0.6010015840155789,0.0,0.6010015840155789,
63,4000,0.5,0.2284170861771551,0.0,0.2284170861771551,
64,4000,0.01,0.28895894057092464,0.0,0.28895894057092464,
65,750,0.4,0.40710579052804724,0.0,0.40710579052804724,
66,2000,0.8,3.166372769050391,0.0,3.166372769050391,
67,4000,0.7,6.608742055977784,0.0,6.608742055977784,
68,500,0.2,4.709304437810329,0.0,4.709304437810329,
69,1000,0.1,4.629413104902937,0.0,4.629413104902937,
70,5000,0.3,0.2741967207326658,0.0,0.2741967207326658,
71,500,0.3,0.6305031136998077,0.0,0.6305031136998077,
72,1000,0.7,4.870159106361859,0.0,4.870159106361859,
73,750,0.5,2.5746008614757816,0.0,2.5746008614757816,
74,5000,0.01,0.9855514355378782,0.0,0.9855514355378782,
75,1000,0.4,0.47950237357323683,0.0,0.47950237357323683,
76,750,0.8,6.71936493298349,0.0,6.71936493298349,
