,Lambda,Max_act,speed,persistance,global_order,lcl_order
0,10000,0.3,0.8892239936451323,0.14404961994165202,5.924112546211695,0.27753029064848184
1,10000,0.7,0.815334628818835,0.28429578279313045,6.134786366105521,0.288348060997229
2,600,0.5,0.6705570456703862,0.11259550620274938,3.4796732678213957,0.16155934824497886
3,900,1.0,0.5595561130446243,0.0,1.5085135655296171,0.1559988896203667
4,900,0.9,0.5916571582971898,0.7110146921599916,3.79879297299596,0.1944187189310559
5,2500,0.1,0.6634926967386926,0.11171743787364069,5.0773169647528125,0.24892099037138937
6,600,0.6,0.8626813571979954,0.1609975115593071,3.822982252454309,0.20663856824995544
7,10000,1.0,0.7663610070740154,0.0,1.9287302778225994,0.22412207066169337
8,10000,0.5,0.7847145404532867,0.18897075803565277,6.348853723276111,0.2615008495756179
9,500,0.8,0.617436724182714,0.23663416384571126,3.288225476042915,0.13855892714041465
10,100,0.4,0.7563238533481107,0.03438846461414683,2.3525901279906902,0.13471926615706775
11,1000,0.1,0.6297633335258465,0.09167313150486449,4.414724201520331,0.20274978682766095
12,300,0.7,0.680322082665027,0.08397965222093023,2.7843306744494147,0.15240370482704604
13,1000,0.3,0.7683778801297813,0.08875002838362994,4.309096983673209,0.19626859218295187
14,900,0.5,0.4812326033385913,0.128610558211599,4.002628048584777,0.18716182831879896
15,5000,0.1,0.7542393838803946,0.09018835957392922,5.519585505128499,0.24430278028092964
16,100,0.6,0.5002577050404864,0.02768763317164463,1.8902807188470405,0.10448527278177797
17,1000,0.2,0.6130508204067231,0.09716532668366086,4.476789423995552,0.18847106163346813
18,600,0.4,0.740621010766613,0.07772375443549938,3.769519573915049,0.17888588156346133
19,400,0.6,0.6473538928688589,0.0880966401770359,3.01993546534964,0.1443727944460722
20,400,0.2,0.41759409209653303,0.08439897197326131,3.0115393410159004,0.11190798421101643
21,1000,0.5,0.8675938699874003,0.12066681346279143,4.158145703317274,0.23519265101490786
22,500,0.5,0.7497795817540441,0.0718502006383611,3.4448327204519513,0.13445653056261797
23,300,0.5,0.8004121411855192,0.10501026854730583,3.216805971630063,0.16405815657410533
24,900,0.7,0.5888408968873021,0.1410773204469379,3.5908408429634804,0.16740337872171077
25,2500,0.2,0.7611974055935717,0.10696887673762857,4.7372429934491755,0.21281632573399797
26,200,0.3,0.7084372044854222,0.06888413917257026,2.667435642936589,0.09427440210412391
27,200,0.5,0.7436012419278981,0.06409442715039981,2.6585250884131777,0.11902348407903122
28,300,0.9,0.524528396529074,0.4319778457602512,2.678291561389648,0.11740298505112626
29,500,1.0,0.9450318119427478,0.0,2.479268692888309,0.14695835263812962
30,200,0.1,0.7331455950617181,0.046172459951454366,2.5601086490024025,0.15741191897340706
31,700,0.6,0.5366166354167284,0.11694225468674373,3.6476802821862506,0.20014217008878374
32,300,1.0,0.6746486251733885,0.0,1.8190322585213683,0.08723143275018136
33,700,0.3,0.6145801374440728,0.09823017828473786,3.6071733204612237,0.16484277698134817
34,800,0.2,0.7487766854571353,0.07574922966904135,4.114826268453892,0.19186670897513855
