,Lambda,Max_act,speed,persistance,sum_order,global_order,lcl_order
0,800,0.2,2.477209485509611,,1008.8227316321168,11.076742811103898,3.740617215653477
1,800,0.3,2.477753381523413,,1110.0154271458282,10.896536702398901,3.616214143828112
2,2500,0.4,2.563084355767799,,697.7071604190886,11.452945290627207,3.771018068609354
3,400,0.4,2.3512202164197347,,714.1864720746163,10.211682499698874,3.5323081611513527
4,50,0.9,1.179971409583757,,202.96664475529894,5.312114518759575,1.8481990203426133
5,500,0.5,2.4172477333973035,,1913.212953929506,11.125798656106818,3.936577692802669
6,300,0.6,2.277572674535946,,1023.4105685253011,9.648543589176276,3.4440010541606876
7,1000,0.4,2.4696282053630294,,884.7121544718984,10.631713756615298,3.728563083420659
8,1000,0.3,2.4727031698271498,,886.3249736431882,10.925723934397316,3.609284868973007
9,200,0.1,2.171334160045377,,949.3063972254305,9.248887814818502,3.2097133686406214
10,300,0.8,2.2686366950424417,,1059.9981721039537,9.271550129704664,3.422668233342137
11,600,0.5,2.4252632041653652,,929.3980048871133,10.104194167384303,3.679395157968564
12,600,0.1,2.436970896394709,,707.4339680850455,9.965728894766738,3.6360092599961265
13,400,0.9,2.3454514090285454,,978.0398398364815,8.94604818389445,3.7338146595847794
14,200,0.5,2.1655809521043343,,806.8035109002186,9.51886077859698,3.676598579815704
15,20000,0.1,2.6637175861898954,,876.9731209109367,12.122269621809128,4.115176075914794
16,600,0.7,2.4280660808536827,,1130.402149449254,10.231028651117542,3.833550207603433
17,10000,0.7,2.6243585756081913,,1360.8824198527802,11.298388974046324,4.163338794542946
18,600,1.0,2.365836466982697,,3437.6637464994506,7.6054158240992065,5.494684369763429
19,900,0.9,2.4607457158974713,,3083.052169244574,11.30517331556923,4.66083015021182
20,500,0.3,2.4122005193190312,,734.004071484481,10.679792159104593,3.615034544737
21,20000,0.3,2.655670008006919,,1418.1875972333812,11.189137498156384,3.995983938625956
22,200,0.7,2.1349393610145384,,646.879169912248,9.147630979214476,3.183913877068272
23,100,0.7,1.745750275947976,,631.4457360576687,7.715609768156461,2.8401462930149584
24,5000,0.2,2.6083953383386995,,858.8410877121682,10.934860207108352,3.9964894502314063
25,900,0.2,2.47373049836521,,691.2826880258012,10.826950304733591,3.7376310274384545
26,600,0.3,2.42983595373058,,1288.2343239424881,10.168511621993948,3.5254378345186765
27,700,0.3,2.468217260944047,,487.1313246006058,10.719327675501686,3.6869665113140937
28,700,0.4,2.444020247555527,,998.895196259534,9.749812462688132,3.8922303764284285
29,2500,0.2,2.552520696927836,,394.58339585193045,10.914772565901485,3.7699461038301294
30,800,0.4,2.463976451716556,,689.789905102318,10.04001846676171,3.7434816496565335
31,5000,0.1,2.586362393010535,,680.4777505242201,11.818484175495968,4.106387655849198
32,700,0.2,2.43548718957794,,877.435303993869,10.309032558873028,3.797727087687335
33,900,0.4,2.485027359631275,,573.9373339522622,10.616032961083672,3.717473905150575
34,10000,0.6,2.6232016594265866,,2149.92179679778,12.122595890845277,4.420623808614886
35,50,0.7,1.2165725277603925,,261.1421323877231,5.752291461161817,1.7272657373508307
36,300,1.0,2.229252160069595,,6907.796875537927,14.19179169285098,5.6255880057561285
37,300,0.9,2.2647443235845994,,2401.5828203696815,9.910015445369527,3.5757170827521727
38,900,0.6,2.4726841968264273,,945.9580590030097,10.698429184657973,3.636944818505374
39,1000,0.8,2.464016599640323,,1325.4117290539818,9.973903431848058,3.7238346061747793
40,200,0.2,2.1413330484374566,,614.1286122796206,9.778016483525823,3.1662834153859603
41,5000,0.7,2.561891638066162,,481.09997282114364,12.018780173661474,3.8500246967660194
42,100,0.2,1.7255235876587651,,487.2073539481958,7.311655656082713,2.5582583876522103
43,2500,1.0,2.4934374624184708,,4032.9639930017297,8.892826819826677,5.392778572455304
44,700,0.5,2.441521245663442,,1513.8180032750493,10.66987813292007,3.674915256736739
45,100,0.1,1.7525540404457225,,367.804989157975,7.712337898254343,2.603434029379269
46,2500,0.1,2.569887124942584,,566.7722816999883,10.636636473560554,3.9601795767335743
47,800,0.9,2.443036664113704,,3001.19044493129,9.979884657632931,4.332069490813898
48,2500,0.8,2.5419897814435197,,1586.747659289546,13.202172791665468,3.976173595437059
49,50,0.8,1.2269999612305518,,316.62656764589184,6.1561891480783855,1.8396349571246418
50,900,0.8,2.465665418009225,,2508.437056637358,11.915145794575846,3.987083468099969
51,100,0.8,1.7350941235315929,,905.3859125376257,7.918154596982349,2.5640345137119156
52,400,0.1,2.360750813578646,,1097.738408517831,9.855961138834266,3.470953266763719
53,1000,0.2,2.477636721581806,,415.4125167668145,10.036961937438383,3.688957900237685
54,500,0.1,2.427584785050805,,763.600119278471,10.335165880735497,3.762946614418197
55,200,0.4,2.138314467242723,,923.3999349774322,8.741193328950672,3.209623431464829
56,700,0.6,2.441633600258137,,1397.8562921629098,11.576199744665212,3.946229550619516
57,50,0.1,1.2220413869043143,,330.36477534239174,5.486704861907854,1.7295686785280862
58,700,0.8,2.4451503517536155,,2140.025332806084,10.925695729881108,3.81817776998397
59,1000,0.5,2.4832924364514417,,1016.2056807783182,11.54536492966457,3.7498317487186386
60,5000,0.8,2.553169700972524,,1633.782198615615,9.915838930676815,4.393615415514998
61,300,0.7,2.285665935015137,,1520.8117514399191,10.366103667249163,3.5990201939415867
62,500,0.4,2.3997427616771962,,526.6716559673882,10.569546815807215,3.6137578961587558
63,1000,0.9,2.46561577437735,,2600.5183540624876,11.572582673131071,4.087540551791717
64,900,0.7,2.46939082293092,,814.7441820439002,10.502338823344745,3.900800729849699
65,900,1.0,2.424545823386491,,5693.83815406738,11.96170921784563,5.315120149816059
66,800,0.7,2.4588072384708743,,1277.0847232164836,10.713291715761958,3.6337934905590616
67,1000,0.6,2.5013184390214427,,855.8704386385172,11.130096016660316,3.8206294385417174
68,800,0.1,2.471354423429889,,435.06605134899286,10.545227673932878,3.8487590040761295
69,300,0.3,2.279050151641495,,1313.9366999763088,9.468709500128568,3.776253331505821
70,100,0.9,1.6970535652134897,,376.1765765446084,7.172792144477249,2.716314162989588
71,50,0.2,1.2474584008997,,149.45635133783048,5.717895671850733,1.9207783457234808
72,10000,1.0,2.57407974844835,,4757.300740704218,10.642540584644532,5.727669024775797
73,300,0.2,2.2912828586640015,,697.7317030170477,10.176367083510193,3.5374747176776205
74,5000,0.4,2.593808007731766,,942.8887402197769,11.37005949254248,3.945465304437487
75,50,0.5,1.2247620753765394,,321.19956337807963,5.7380405125887775,1.7303729661066223
76,500,0.9,2.3778919288768905,,3174.571588017111,11.686443033768057,3.9643639036530107
77,300,0.1,2.2933162997386445,,593.0656381703077,9.659390198914659,3.707470122781137
78,800,1.0,2.4077005482074285,,4682.924389041328,10.097708783818273,5.9747397385662495
79,200,0.8,2.1130495584421682,,1009.3495226248249,8.39788543551417,3.2998920167968318
80,200,0.6,2.1450910688364058,,540.8550156557302,8.991823568749936,3.1143417964807685
81,700,0.9,2.441242062702129,,1255.7601910300823,10.260229306588954,4.037021825539774
82,2500,0.9,2.5393960433502323,,2913.203378410049,12.928492035306217,4.638742648219742
83,800,0.8,2.4449311365142745,,612.2714955530089,9.31532916982073,3.68887714151907
84,600,0.6,2.4362296753222954,,715.0073180446752,10.462349548842834,4.107354542483853
85,5000,0.9,2.57012683848176,,3002.087331083214,11.300700750685394,4.44019862401116
86,300,0.5,2.280400373446336,,801.861446899697,9.679165694235069,3.570010334265039
