,Lambda,Max_act,speed,persistance,pooled_pers,sum_order,global_order,lcl_order
0,600,62.0,3.7823560891786876,5.767030170601747,5.7197423922811135,293.2446066349777,9.756170888898613,0.5715607509203443
1,700,40.0,5.022993779067152,6.677028681244186,6.568879831770091,585.4449487520059,14.675406787953827,0.7491231859834301
2,700,70.0,3.7184404624179246,5.042594885734231,4.992862333251402,1291.71053829749,10.37108040619039,0.5637361191803238
3,50,58.0,0.969689379454293,0.5568453733742004,0.5564213059394731,105.68024793288498,3.155282230131956,0.1466774046255649
4,1500,52.0,5.341204666981596,6.455300122536615,6.441581647785899,1704.9113575243725,15.560895555173584,0.7875532087952294
5,400,50.0,3.869044505856575,6.7583204583766685,6.637382676414417,1598.099695344239,11.2469494389202,0.5445347138691701
6,1500,76.0,4.522721400500767,6.829093840066918,6.7093452853369095,932.4868283674878,13.263417982249132,0.6524789167720447
7,50,80.0,1.0867668874213645,0.6607024486535887,0.6603312824949074,147.89914059296663,3.686362345952083,0.16933422977853374
8,600,46.0,4.497978348949412,7.169920644374912,7.032473086372607,1626.0300800593375,14.559432084892757,0.6668481488917415
9,100,66.0,1.4965909920170426,1.067446598239401,1.0526840015214678,284.17344865286145,4.952836782329204,0.2090965307585967
10,300,52.0,3.4464023660471437,6.8018664588468365,6.7451947527339335,737.6563999278942,11.212498716940543,0.466315775064517
11,700,50.0,4.459402215266528,5.935402107610107,5.813615326973432,1400.273875171477,14.096847709240162,0.6957245482252802
12,1000,44.0,5.213081594265055,6.176408479579502,5.985998930421171,2075.24388300161,16.21216658133048,0.7731738545369401
13,500,68.0,3.4001846876127795,5.8148737637992145,5.624503056741498,637.9047483562678,9.794659874185118,0.5055661764262889
14,50,60.0,0.9723233333008058,0.5774532983483301,0.57717792431423,40.62659790353904,3.305587269050626,0.13893412621567708
15,400,46.0,4.051456530632126,7.375639014339998,7.104415502725953,1740.1218979672774,11.6965886090384,0.5957193876423691
16,200,68.0,2.612917596191875,6.195774696654934,5.87991561302146,892.5475886775874,7.798260114348592,0.3878187345307376
17,300,76.0,2.7974097691211064,6.057805204786861,5.994574024523822,480.5126556032402,8.3105698399169,0.40023504715361974
18,200,78.0,2.44730881595163,5.454335036844395,5.367824628534924,769.6740903903743,7.862142226959361,0.4009671373541814
19,500,72.0,3.2930605740558696,4.93527789976691,4.908867769558345,935.861129840035,9.665401952590713,0.47624274999932714
20,2000,50.0,5.819722774098139,7.324463364631811,7.302925285998745,1971.2083516783368,17.649599322279677,0.7932709904481862
21,200,72.0,2.5508864354506566,6.0328511465162435,5.976660046185212,790.762536639961,7.780469799814264,0.39900271851010927
22,1000,80.0,3.8877490634144096,5.391552232831467,5.376161659705955,1143.709915100945,11.173412716535111,0.5851303313741407
23,50,44.0,0.9042967392596183,0.5214945057650402,0.5211445600340764,53.608639802538974,2.993671366685138,0.12018520610213738
24,400,62.0,3.410043711894668,6.388751811927114,6.378494157766217,1174.8558471662416,9.832875806701844,0.46541314535130984
25,900,60.0,4.3234941324314775,5.786835560326669,5.751877972784079,1246.1409976647385,11.790573737856292,0.6195243385949126
26,900,52.0,4.650701296405202,5.84886633280221,5.785750709809112,753.1122007442635,13.052821160554387,0.6684166662004262
27,100,42.0,1.0643292376652358,0.578238853409143,0.5774788649032002,113.47532241709388,3.493999844675022,0.14283243804160325
28,800,66.0,3.9920017147853364,5.344234441298819,5.317773904859955,1695.634185147503,12.112305441076698,0.5526137917759116
29,600,68.0,3.5992146539507246,5.456081649123641,5.42757730358096,920.6169607345334,10.513296377230708,0.4789499042745835
