,Lambda,Max_act,iter,speed,speed_std,persistance,std_persit
0,400.0,0.4,0,1.5741316828434673,1.0234212319814302,1.8995520693785735,11.690403430898652
1,400.0,0.4,1,1.5804347461687984,1.0202430243226328,1.4610094821354962,9.7024236067487
2,600.0,0.8,0,2.48584392055021,1.2344714599200868,2.450781479880505,11.722074648248894
3,600.0,0.8,1,2.4980262764045498,1.223922623598714,1.9669784782509385,9.665447726758433
4,1000.0,0.7000000000000001,0,3.6554471460873805,1.5405098691143224,2.8749281298231617,11.81123576195237
5,1000.0,0.7000000000000001,1,3.6776727162365135,1.5405206006394931,2.3065330738050975,9.657260090498177
6,600.0,0.9,0,2.5959635181645133,1.2817764620839203,2.983362514304668,11.582421027377247
7,600.0,0.9,1,2.599954507918064,1.2700911945630586,2.5476109633574673,9.622770749796898
8,200.0,0.2,0,0.8265506545432394,0.7467759233772429,1.7926773135839806,11.702911246290745
9,200.0,0.2,1,0.8279172434046564,0.7375747974430883,1.3523382587659762,9.712832499619157
10,400.0,0.9,0,1.797269422791025,1.077976606537033,2.4134003784747433,11.633680986511019
11,400.0,0.9,1,1.795293482450802,1.0554242373645377,1.9915737836129634,9.731737386914746
12,200.0,0.5,0,0.8501099279517302,0.7619178327140231,1.7971201681491278,11.698018428965678
13,200.0,0.5,1,0.8507015855268515,0.761886805054632,1.4324791054627775,10.075060281699907
14,400.0,1.0,0,0.8886651682691336,0.925300182310019,3.359145340843205,14.395253813943944
15,400.0,1.0,1,0.894360105936335,0.9342477888764021,3.0313959446106775,13.273636516604688
16,200.0,1.0,0,0.5183224731853849,0.6636219175553897,2.0235317817895404,12.092591612048812
17,200.0,1.0,1,0.514469363532719,0.6416993614113565,1.460399046515623,9.684592845132435
18,600.0,0.7000000000000001,0,2.4385015840438404,1.2345522387636876,2.233522844732224,11.654089594638402
19,600.0,0.7000000000000001,1,2.4291925334453888,1.2186178134977568,1.7747850356278387,9.67413474507083
20,600.0,0.4,0,2.3260902021736745,1.1971692504861569,2.0728425467967475,11.67033641147845
21,600.0,0.4,1,2.3276511175300336,1.2051452233766498,1.6314198435728802,9.686258561174167
