,Lambda,Max_act,iter,speed,speed_std,persistance,std_persit
0,2800.0,40.0,0,,,,
1,2800.0,40.0,1,,,,
2,3800.0,40.0,0,5.690693476041441,1.6389001823468168,52.10963956985536,31.55048101532232
3,3800.0,40.0,1,5.690861003748819,1.7101940319792872,47.455774594837976,31.909462702561846
4,2400.0,30.0,0,6.264523818065465,1.55242607079658,52.81572659791696,29.74120954291753
5,2400.0,30.0,1,6.2604331459299445,1.5602343592704084,47.033254900627085,30.610529274128684
6,3200.0,10.0,0,14.348708301824697,10.42758047302847,0.48050731447362294,0.02182397339598329
7,3200.0,10.0,1,14.328551190604099,10.380644529988654,0.4797619461129217,0.020907190503762593
8,2800.0,100.0,0,3.5652181218596843,0.9188608105660259,76.0130887586385,31.39127963417052
9,2800.0,100.0,1,3.5765636699960295,0.9111182365054481,75.17539103419855,31.622840152930536
10,2200.0,60.0,0,4.172916643989002,0.9730442009438798,26.934480595059448,24.87621528751622
11,2200.0,60.0,1,4.194388158979906,0.9079854855235936,64.91658208333364,32.66594532714903
12,1200.0,10.0,0,0.7267323098414039,0.6080157775887834,0.4339258665404167,0.015858941716854934
13,1200.0,10.0,1,0.7298522987353251,0.6596568394788243,0.43427148323309556,0.015311003994406434
14,800.0,40.0,0,4.331280540967579,0.7782186154099202,81.54309506564988,24.666536918067596
15,800.0,40.0,1,4.320436569832613,0.8175246789146485,57.15110167240361,29.570128760036283
16,3200.0,90.0,0,3.8637814273266873,0.9513245691649549,82.86085322766975,28.803352104753483
17,3200.0,90.0,1,3.8850330525162047,0.920350004241596,88.934300139703,22.901696804380748
18,4000.0,70.0,0,4.481560988945431,1.0450355688449753,70.19490336898538,30.327362337044246
19,4000.0,70.0,1,4.508215794145811,1.0026726596258304,86.05057995120798,24.0673977718677
20,2400.0,80.0,0,3.737896035056218,0.8923218083608699,60.75644642723109,35.170365139459015
21,2400.0,80.0,1,3.746291462787895,0.8842034005491737,73.76724913401361,32.690870004651785
22,2400.0,20.0,0,7.692882711062854,2.441708830332408,1.020819210365005,0.09670481159779892
23,2400.0,20.0,1,7.6862211563956215,2.4272581059332214,1.0198879121956936,0.0941997916793549
24,2800.0,60.0,0,4.400624335129986,0.939286116524718,73.8115405570528,31.249294312154063
25,2800.0,60.0,1,4.405327053273168,0.9832595314592143,57.75278945569458,32.50895642176875
26,2200.0,40.0,0,5.208674407898621,1.086649669611252,69.456585901214,29.988632024895477
27,2200.0,40.0,1,5.2048563906716545,1.0263109669418324,80.1824630017767,26.455034973185164
28,3400.0,90.0,0,3.9185201366245246,0.9528527171100201,77.62439465610154,28.60581430915717
29,3400.0,90.0,1,3.940707585351328,0.902609696624588,91.55405110573065,20.476532221913157
30,2000.0,70.0,0,3.8086298148000064,0.9012613588021009,65.91576763220064,33.20898401597253
31,2000.0,70.0,1,3.795446670994624,0.8584870095330941,61.6454540006086,33.27604309480575
32,2600.0,20.0,0,7.917062596930577,2.7820109539657873,0.9828486415829529,0.08164194892540459
33,2600.0,20.0,1,7.909044248281131,2.7330574360725133,0.9925606034811837,0.08856407353781791
34,3600.0,20.0,0,8.919168395142957,4.321315525339436,0.8374524449346248,0.05766416275659149
35,3600.0,20.0,1,8.940876699662079,4.358402262823025,0.8352036223731636,0.058415279441304827
36,1200.0,30.0,0,5.500890654821051,0.872819863935636,52.91457730367657,29.75102455716564
37,1200.0,30.0,1,5.5044264718308105,0.8884787549712113,47.82934951338097,29.173725413982687
38,3800.0,60.0,0,4.717692696199991,1.1039170723175404,71.34736168475379,30.370845271792817
39,3800.0,60.0,1,4.727956318454985,1.0710419307050139,85.59904518162439,25.48479359180583
40,3400.0,40.0,0,5.569716240620113,1.513244901076936,65.38848679410414,31.448476031690248
41,3400.0,40.0,1,5.591066426507432,1.501728502978386,66.24632875278897,31.706748495905615
42,2600.0,30.0,0,6.364648787361436,1.7466668942421206,39.83779515271,29.12847134396101
43,2600.0,30.0,1,6.3573592437053135,1.7487333423516456,38.38964769294605,29.492844352485996
44,3600.0,30.0,0,6.754877822693949,2.539947405797239,16.600562169311857,22.9194668977464
45,3600.0,30.0,1,6.726262051275264,2.4386631670877863,29.70674610866307,27.48171000710575
46,2400.0,90.0,0,3.5470666932209465,0.9211448534194807,56.94563791556539,35.899692194299945
47,2400.0,90.0,1,3.550736071090726,0.9267113015250494,47.178187244787125,32.55627118100307
48,2200.0,90.0,0,3.4337528753302955,0.8875648250763668,38.072265978069,30.665414771520677
49,2200.0,90.0,1,3.472516425586165,0.8738600704389784,47.92881654964943,33.36949530956899
50,3000.0,60.0,0,4.4638765567299306,1.083634477309497,30.607510142535215,25.84122141859957
