,Seeded_cells,Free_voxels
0,0,262144
1,100,247163
2,200,232218
3,300,217271
4,400,202478
5,500,187845
6,600,173368
7,700,159160
8,800,145524
9,900,132729
10,1000,121285
11,1100,111510
12,1200,102783
13,1300,94759
14,1400,87518
15,1500,80999
16,1600,74969
