,Seeded_cells,Free_voxels
0,0,262144
1,10,257139
2,20,252140
3,30,247135
4,40,242128
5,50,237135
6,60,232148
7,70,227157
8,80,222159
9,90,217155
10,100,212166
11,110,207161
12,120,202189
13,130,197191
14,140,192191
15,150,187195
16,160,182203
17,170,177195
18,180,172196
19,190,167220
20,200,162229
21,210,157236
22,220,152244
23,230,147268
24,240,142286
25,250,137317
26,260,132349
27,270,127398
28,280,122465
29,290,117509
30,300,112589
31,310,107704
32,320,102849
33,330,98044
34,340,93297
35,350,88640
36,360,83979
37,370,79384
38,380,74815
39,390,70276
40,400,65764
41,410,61268
42,420,56774
43,430,52307
44,440,47879
45,450,43478
46,460,39101
47,470,34771
48,480,30462
49,490,26134
50,500,21852
51,510,17482
52,520,12987
53,530,8479
54,540,4139
55,550,707
56,560,169
