,FILE,VOLUME
97,LLAMBDA_972MAX1581.pkl,1.430511474609375e-05
98,LLAMBDA_972MAX1582.pkl,1.3709068298339844e-05
99,LLAMBDA_972MAX190.pkl,1.1086463928222656e-05
100,LLAMBDA_972MAX191.pkl,1.1205673217773438e-05
101,LLAMBDA_972MAX192.pkl,1.1026859283447266e-05
102,LLAMBDA_972MAX25060.pkl,3.135204315185547e-05
103,LLAMBDA_972MAX25061.pkl,2.1278858184814453e-05
104,LLAMBDA_972MAX25062.pkl,2.3245811462402344e-05
105,LLAMBDA_972MAX3150.pkl,1.4424324035644531e-05
106,LLAMBDA_972MAX3151.pkl,1.519918441772461e-05
107,LLAMBDA_972MAX3152.pkl,1.4722347259521484e-05
108,LLAMBDA_972MAX390.pkl,1.055002212524414e-05
109,LLAMBDA_972MAX391.pkl,1.1801719665527344e-05
110,LLAMBDA_972MAX392.pkl,1.2159347534179688e-05
111,LLAMBDA_972MAX6290.pkl,2.0742416381835938e-05
112,LLAMBDA_972MAX790.pkl,1.3113021850585938e-05
113,LLAMBDA_972MAX791.pkl,1.2874603271484375e-05
114,LLAMBDA_972MAX792.pkl,1.3649463653564453e-05
