,sigma,omega,std_sigma,std_omega,params,type,CUMUL_STD
0,1.4909333618269136,0.6207789563926122,0.1055229042343135,0.021357084030626233,100N_0.125V/E,BA,0.1850045146000717
1,1.7523660467023123,0.6942575744452774,0.19567779840446414,0.02492932950148147,100N_0.1875V/E,BA,0.23070231723969492
2,2.256741250243579,0.7560319941058373,0.3111580461865097,0.029440851601039618,100N_0.25V/E,BA,0.28869285106126985
3,2.4371216204463173,0.7820076614120502,0.4333115033002052,0.03487635433116087,100N_0.3125V/E,BA,0.3556568488412353
4,2.6716581538459097,0.691760665579257,0.7538817103115079,0.06670386568532538,100N_0.375V/E,BA,0.6802683895541963
5,1.87181993525537,0.7435376830780291,0.10612812287691849,0.010698345862806356,176N_0.125V/E,BA,0.09475701439956997
6,2.203229652923614,0.8045731893066843,0.21728480284908086,0.014604025668088279,176N_0.1875V/E,BA,0.14687264972515648
7,2.7600794614103,0.8637142014784235,0.38541028496248986,0.018557814015374742,176N_0.25V/E,BA,0.2091380297338224
8,3.056184133286395,0.8819011344555777,0.5932084569106051,0.02250153413816995,176N_0.3125V/E,BA,0.27810228758586863
9,3.02443836053184,0.8186889785501178,0.8913132213041255,0.0373824249321816,176N_0.375V/E,BA,0.4552205988350948
10,2.736873592351326,0.9052019887670386,0.15170708912875586,0.004042143201576957,500N_0.125V/E,BA,0.04612856303628658
11,3.234263175141715,0.9386423462198824,0.26962164403565125,0.0048740425913419445,500N_0.1875V/E,BA,0.07334429334564703
12,4.122001249634917,1.0010620864833972,0.4542221847519254,0.0059311415137991794,500N_0.25V/E,BA,0.11387260244168843
13,4.571304099647182,1.0125368662803411,0.7455367065714233,0.008569064441748505,500N_0.3125V/E,BA,0.18604970335111776
14,4.580497658769842,0.9429211721200604,1.0901239215401433,0.01702117280418984,500N_0.375V/E,BA,0.31662183800580096
15,3.4521381497548753,0.9636304086022343,0.16034076571561007,0.0019110135671081385,1000N_0.125V/E,BA,0.02954000328133754
16,4.094703382086855,1.0060527776332668,0.3192507381909963,0.0033149247017505517,1000N_0.1875V/E,BA,0.06861492540346889
17,5.027075244625484,1.0619864408447781,0.4388254163189156,0.004794229137798567,1000N_0.25V/E,BA,0.10160240746087891
18,5.753988489734143,1.073604031004046,0.8177600979618487,0.007437488770605872,1000N_0.3125V/E,BA,0.18880822022386626
19,5.711787487919583,1.0010976652914414,1.2946897076991997,0.012571485560729649,1000N_0.375V/E,BA,0.31388489102577477
20,1.0123057532169681,0.7684993348637389,0.04813087643855187,0.009440645075004075,100N_0.125V/E,ER,0.07417804223075576
21,0.9993249616108295,0.8387236117941756,0.086909239391632,0.015472824320772618,100N_0.1875V/E,ER,0.13194234446890254
22,1.0297660694427209,0.8733841164488667,0.14823896655346874,0.020921959438138335,100N_0.25V/E,ER,0.18862074586960043
23,1.0017907240414505,0.8957609708864013,0.1762825809938382,0.02400752767613501,100N_0.3125V/E,ER,0.21957179701679702
24,1.0225456239393609,0.8980779877566302,0.2888223659394781,0.038044475032634556,100N_0.375V/E,ER,0.3578037319419004
25,1.0051393302200502,0.8702150280101594,0.05186776350382441,0.007688572768458164,176N_0.125V/E,ER,0.05996526534352994
26,0.9933946942072346,0.9103100782775239,0.0844517165955765,0.00975040305621372,176N_0.1875V/E,ER,0.08301481034024266
27,1.0439214335460798,0.9268397590578082,0.13519590088425568,0.014707190686285239,176N_0.25V/E,ER,0.1337095471764527
28,1.0425449270319331,0.9422989636257401,0.17194768555020118,0.021022893246205744,176N_0.3125V/E,ER,0.19353063858634825
29,1.0488870992707084,0.9417998345025203,0.2488861458825463,0.023117369307044836,176N_0.375V/E,ER,0.22444174903298136
30,0.9929842898656822,0.9535964835782003,0.03811329403071994,0.003756562224191943,500N_0.125V/E,ER,0.024282684562096295
31,1.0118231832416662,0.9676666200030948,0.07111646519164036,0.006972287708206707,500N_0.1875V/E,ER,0.05718514884762102
32,1.006593797633073,0.9758613343830669,0.13546365066673516,0.008649904646538566,500N_0.25V/E,ER,0.08240949750502985
33,1.0110000102373737,0.9791413063469967,0.1954669814384395,0.012593672161505204,500N_0.3125V/E,ER,0.12610051926089766
34,1.0726971936829168,0.9783311025221245,0.25659724272020834,0.016419819380694256,500N_0.375V/E,ER,0.16898721889337331
35,0.993306296087502,0.9769452320967582,0.044852079696927165,0.0024016621438426064,1000N_0.125V/E,ER,0.013949959366778886
36,1.0058105230007854,0.9837444319235502,0.08467365994157304,0.004938681950675456,1000N_0.1875V/E,ER,0.0422652159689986
37,1.0087738104910462,0.9875738088971382,0.12339932351241858,0.007380239226872335,1000N_0.25V/E,ER,0.06958385762344622
38,1.0339480004079364,0.9913365108737955,0.1996126384704331,0.007922577251188398,1000N_0.3125V/E,ER,0.08721394603313037
39,1.0577103038514284,0.9900750779271794,0.285505542970544,0.009166630517369257,1000N_0.375V/E,ER,0.1124475255887886
40,2.8440054054111443,-0.29549757667644777,0.130261713600751,0.046221869443290445,100N_0.125V/E,WS,0.4000064606436927
41,2.952543765052411,-0.24167316398652564,0.09945481305934778,0.042254707431011056,100N_0.125V/E,WS,0.3611098623996319
42,3.0316748749826394,-0.15943351344439688,0.06675368873745069,0.0347763990416664,100N_0.125V/E,WS,0.29212638520353873
43,3.0553400409164855,-0.09380783213923086,0.030977885548520077,0.03410172962248654,100N_0.125V/E,WS,0.2802895738979395
44,2.9212593697024403,0.03421177743032309,0.06311218993415484,0.037057038366630546,100N_0.125V/E,WS,0.31083598145017194
45,2.63177945897005,0.19474821126888392,0.08051077716811018,0.03632810042967091,100N_0.125V/E,WS,0.30763223164705195
46,2.2204788108965303,0.3784809795508779,0.06527919494109789,0.02502442268973709,100N_0.125V/E,WS,0.20920959785973028
47,1.5791120924688231,0.5995734473084373,0.07136773287683254,0.024478042051058135,100N_0.125V/E,WS,0.20561925917384313
48,1.0779066840762455,0.7543881313218035,0.02534210651983691,0.0074149127425810315,100N_0.125V/E,WS,0.0531095130480505
49,0.9601933367795127,0.7838892807410975,0.016812811044939143,0.004033840549371449,100N_0.125V/E,WS,0.022990605198426654
50,3.1357227986698484,-0.46301642658210584,0.321327055314756,0.07108836454835578,100N_0.1875V/E,WS,0.6434655465414286
51,3.6692082289954455,-0.3254643453169798,0.19109838700615325,0.059160317758204024,100N_0.1875V/E,WS,0.5200852576128764
52,3.8289614451085017,-0.23736170504210144,0.08335444473893713,0.04046803662693315,100N_0.1875V/E,WS,0.3432115368936916
53,3.913340840751767,-0.16537508819753308,0.047127980942842186,0.04318706472634635,100N_0.1875V/E,WS,0.36006503837995707
54,3.8756907966506104,-0.025976861917346876,0.11947268502644336,0.05055370550994956,100N_0.1875V/E,WS,0.4348811873156202
55,3.610057364573975,0.13143886828647686,0.09819940005717094,0.04899740347885487,100N_0.1875V/E,WS,0.41805103634738117
56,2.894270642178191,0.36615905163260715,0.1620590007572383,0.05048331023773573,100N_0.1875V/E,WS,0.4415669347010224
57,2.0462545637360976,0.5839948578780676,0.13027228650169229,0.029900394223691635,100N_0.1875V/E,WS,0.2616559129226771
58,1.0786539670358748,0.7939337349706677,0.10501502230753194,0.02202261923220582,100N_0.1875V/E,WS,0.1905592109123565
59,0.8635893914684747,0.8366353524563245,0.05425464809214863,0.009659352593562749,100N_0.1875V/E,WS,0.0770791564684986
60,3.8548765623487413,-0.48306094406104433,0.439176837890541,0.08061082413331898,100N_0.25V/E,WS,0.7443375289106812
61,4.356783427284088,-0.3794941509783188,0.3556044272597944,0.06275573976091813,100N_0.25V/E,WS,0.5786939290945627
62,4.608011661473957,-0.30731337404869125,0.402976809926274,0.08254039971191782,100N_0.25V/E,WS,0.7545035937066606
63,4.946531183125396,-0.18029837159613388,0.1084660719820185,0.04608729870244051,100N_0.25V/E,WS,0.3951385830700572
64,5.008338266215657,-0.04014802480817932,0.11188007054224955,0.04988116283469031,100N_0.25V/E,WS,0.427881866357412
65,4.607199985167549,0.15681413904481256,0.16728491515645424,0.05408856656895955,100N_0.25V/E,WS,0.47302129144313887
66,3.9038659886210616,0.36233235554833465,0.16871448172102108,0.03614128616302876,100N_0.25V/E,WS,0.3211319250952882
67,2.573139482150898,0.62808565351682,0.256057630098459,0.04372609851916276,100N_0.25V/E,WS,0.40036225746606174
68,1.248364693360452,0.8460896769593628,0.10526165602507022,0.014318627918559498,100N_0.25V/E,WS,0.12529691292602582
69,0.8875018577779678,0.8976115254567121,0.1228759774987298,0.01729618405978166,100N_0.25V/E,WS,0.15354891732233317
70,3.879723632801543,-0.555768105404165,0.30258358014340353,0.049725739072062944,100N_0.3125V/E,WS,0.45917561388874667
71,4.21180336874522,-0.5035069142968749,0.4702263317439809,0.07510824275643072,100N_0.3125V/E,WS,0.7030033760725635
72,4.954391675862064,-0.33578299724464594,0.410458290830156,0.09178810248015701,100N_0.3125V/E,WS,0.8341730259240924
