,FILE,VOLUME
92,VOLLAMBDA_1893MAX790.pkl,1.633167266845703e-05
93,VOLLAMBDA_1893MAX791.pkl,1.5854835510253906e-05
94,VOLLAMBDA_1893MAX792.pkl,1.5974044799804688e-05
95,VOLLAMBDA_2640MAX100.pkl,1.0967254638671875e-05
96,VOLLAMBDA_2640MAX101.pkl,1.0967254638671875e-05
97,VOLLAMBDA_2640MAX102.pkl,1.0728836059570312e-05
98,VOLLAMBDA_2640MAX12560.pkl,0.00010877847671508789
99,VOLLAMBDA_2640MAX12561.pkl,0.00010347366333007812
100,VOLLAMBDA_2640MAX12562.pkl,8.89897346496582e-05
101,VOLLAMBDA_2640MAX1580.pkl,0.000379025936126709
102,VOLLAMBDA_2640MAX1581.pkl,0.0003794431686401367
103,VOLLAMBDA_2640MAX1582.pkl,0.0003783106803894043
104,VOLLAMBDA_2640MAX190.pkl,1.4126300811767578e-05
105,VOLLAMBDA_2640MAX191.pkl,1.2755393981933594e-05
106,VOLLAMBDA_2640MAX192.pkl,1.2814998626708984e-05
107,VOLLAMBDA_2640MAX25060.pkl,0.00010585784912109375
108,VOLLAMBDA_2640MAX25061.pkl,9.936094284057617e-05
109,VOLLAMBDA_2640MAX25062.pkl,7.092952728271484e-05
110,VOLLAMBDA_2640MAX3150.pkl,0.00025707483291625977
111,VOLLAMBDA_2640MAX3151.pkl,0.00023180246353149414
112,VOLLAMBDA_2640MAX3152.pkl,0.00018310546875
113,VOLLAMBDA_2640MAX390.pkl,1.5139579772949219e-05
114,VOLLAMBDA_2640MAX391.pkl,1.519918441772461e-05
115,VOLLAMBDA_2640MAX392.pkl,1.537799835205078e-05
116,VOLLAMBDA_2640MAX49990.pkl,8.916854858398438e-05
117,VOLLAMBDA_2640MAX49991.pkl,8.636713027954102e-05
118,VOLLAMBDA_2640MAX49992.pkl,6.902217864990234e-05
119,VOLLAMBDA_2640MAX6290.pkl,0.00016307830810546875
120,VOLLAMBDA_2640MAX6291.pkl,0.00012159347534179688
121,VOLLAMBDA_2640MAX6292.pkl,0.0001659989356994629
122,VOLLAMBDA_2640MAX790.pkl,1.9431114196777344e-05
123,VOLLAMBDA_2640MAX791.pkl,1.9252300262451172e-05
124,VOLLAMBDA_2640MAX792.pkl,2.574920654296875e-05
125,VOLLAMBDA_3684MAX100.pkl,1.1622905731201172e-05
126,VOLLAMBDA_3684MAX101.pkl,1.2040138244628906e-05
127,VOLLAMBDA_3684MAX102.pkl,1.1265277862548828e-05
128,VOLLAMBDA_3684MAX12560.pkl,0.00011646747589111328
129,VOLLAMBDA_3684MAX12561.pkl,0.00012934207916259766
130,VOLLAMBDA_3684MAX12562.pkl,0.00012296438217163086
131,VOLLAMBDA_3684MAX1580.pkl,0.0004578828811645508
132,VOLLAMBDA_3684MAX1581.pkl,0.0004286766052246094
133,VOLLAMBDA_3684MAX1582.pkl,0.0004500150680541992
134,VOLLAMBDA_3684MAX190.pkl,1.4126300811767578e-05
135,VOLLAMBDA_3684MAX191.pkl,1.3053417205810547e-05
136,VOLLAMBDA_3684MAX192.pkl,1.4483928680419922e-05
137,VOLLAMBDA_3684MAX25060.pkl,0.00011050701141357422
138,VOLLAMBDA_3684MAX25061.pkl,0.00011271238327026367
