,Degree,iter,type
0,8,0,WS
1,8,0,WS
2,8,0,WS
3,8,0,WS
4,8,0,WS
5,8,0,WS
6,8,0,WS
7,8,0,WS
8,8,0,WS
9,8,0,WS
10,9,0,WS
11,8,0,WS
12,8,0,WS
13,8,0,WS
14,8,0,WS
15,8,0,WS
16,8,0,WS
17,8,0,WS
18,8,0,WS
19,8,0,WS
20,8,0,WS
21,8,0,WS
22,8,0,WS
23,7,0,WS
24,8,0,WS
25,8,0,WS
26,8,0,WS
27,7,0,WS
28,8,0,WS
29,8,0,WS
30,8,0,WS
31,8,0,WS
32,8,0,WS
33,8,0,WS
34,8,0,WS
35,8,0,WS
36,8,0,WS
37,8,0,WS
38,8,0,WS
39,8,0,WS
40,8,0,WS
41,8,0,WS
42,8,0,WS
43,8,0,WS
44,8,0,WS
45,8,0,WS
46,8,0,WS
47,8,0,WS
48,8,0,WS
49,7,0,WS
50,8,0,WS
51,8,0,WS
52,8,0,WS
53,9,0,WS
54,8,0,WS
55,8,0,WS
56,8,0,WS
57,8,0,WS
58,8,0,WS
59,8,0,WS
60,8,0,WS
61,8,0,WS
62,8,0,WS
63,8,0,WS
64,8,0,WS
65,8,0,WS
66,8,0,WS
67,9,0,WS
68,8,0,WS
69,8,0,WS
70,8,0,WS
71,8,0,WS
72,8,0,WS
73,8,0,WS
74,8,0,WS
75,8,0,WS
76,8,0,WS
77,8,0,WS
78,8,0,WS
79,8,0,WS
80,8,0,WS
81,8,0,WS
82,8,0,WS
83,8,0,WS
84,8,0,WS
85,8,0,WS
86,8,0,WS
87,8,0,WS
88,8,0,WS
89,8,0,WS
90,8,0,WS
91,8,0,WS
92,8,0,WS
93,8,0,WS
94,8,0,WS
95,8,0,WS
96,8,0,WS
97,8,0,WS
98,8,0,WS
99,8,0,WS
100,8,0,WS
101,8,0,WS
102,8,0,WS
103,7,0,WS
104,8,0,WS
105,8,0,WS
106,8,0,WS
107,9,0,WS
108,8,0,WS
109,8,0,WS
110,8,0,WS
111,8,0,WS
112,8,0,WS
113,8,0,WS
