,Motility,Persistance,AutoSlope,P-val,Lambda,Max_act
0,0.0,0.0,,,10000,10
1,0.004428692282252968,1.0555144006697268,,,10000,10
2,0.0,0.0,,,10000,10
3,10.009699292858626,1165.43186534124,-0.00013861763890927548,0.3779020725496438,10000,1256
4,294.24326979285775,36826.090429920056,-0.00010497339162442565,0.4958023892129957,10000,1256
5,11.115791932979345,1351.8125432494194,-0.00015047465200642113,0.34902733873680425,10000,1256
6,381.017892469852,46959.72550252434,-0.00045074861125159784,0.005002478002242458,10000,158
7,15.432409214076687,1960.4495335641307,0.0002997461705627392,0.06520383219944184,10000,158
8,16.111941689439146,1892.4055022463967,-1.0663029782322216e-05,0.9504467759671623,10000,158
9,0.2574445420929307,75.6243692902606,-0.0011291029425767045,0.9009912003533742,10000,19
10,1.3820078875640633,268.58069444526416,-0.000692060287775669,0.33108975250151407,10000,19
11,0.7958593469043211,147.56107355592798,-0.011586313357748814,0.003332503362445679,10000,19
12,13.225725198776566,1490.1399466871444,0.00015722144229342,0.36941479000987854,10000,2506
13,267.9141116178797,32027.323407680662,4.4964640104966494e-05,0.7830981016950114,10000,2506
14,11.064540464722096,1352.4474860247942,0.0001340213417586679,0.4239000312841079,10000,2506
15,24.77520584082898,2900.8911254444265,6.362183454241828e-05,0.7372184262931891,10000,315
16,23.099741966285908,2768.0323429317573,-2.598234750758676e-05,0.8823358661976256,10000,315
17,27.41011008392109,3360.754086007558,-0.00022805873120373285,0.12241780955519818,10000,315
18,279.2425528966737,27093.18944212551,-0.0004337849987402804,0.013296295747669376,10000,39
19,374.6171569058351,35372.05150088086,-0.00029133143366641347,0.09034167591168352,10000,39
20,285.36044348343114,29133.746193063867,-0.0003455691448732301,0.07082292488058065,10000,39
21,327.2420242668236,39370.83067430018,8.805862157908419e-05,0.5599563300386058,10000,4999
22,13.427748344708972,1682.595804476603,-2.109283825790504e-05,0.9037425425179254,10000,4999
23,73.32631370008097,8572.907279374716,0.0002630014476580795,0.09018022797598596,10000,4999
24,61.895477684747455,7296.979161864819,9.700286807021629e-05,0.5759123370953927,10000,629
25,329.58673681381543,36655.43670495398,0.000217903821722333,0.22475715799454282,10000,629
26,229.65249248132343,29029.3403278889,-0.00020185232653471206,0.220377065850324,10000,629
27,24.171938351233496,2564.7920333345974,-8.108702116445794e-05,0.6513652813014292,10000,79
28,9.214928991112275,1027.6132700742467,-0.0002992394347413094,0.07270592254418168,10000,79
29,308.0075187905396,34064.65237351833,-0.00012628692525317465,0.5083844175536869,10000,79
30,0.0,0.0,,,1357,10
31,0.0,0.0,,,1357,10
32,0.0,0.0,,,1357,10
33,96.37726876081517,36652.83593118363,0.00011558678745450786,0.5137620346871329,1357,1256
34,15.508022535732525,6572.716400924182,0.00011127233715205962,0.48318444928348636,1357,1256
35,119.81359306399995,47833.35586446205,0.00019360790718934756,0.2438788354641929,1357,1256
36,73.0159012650074,36407.43471471212,0.00030251409608109044,0.36974088541161143,1357,158
37,1.2980390718490677,792.6449657647756,6.0068652232789074e-05,0.8709539610393042,1357,158
38,76.22337063640784,35101.389798368116,0.00019610104525317681,0.4931200183441806,1357,158
39,0.010946398759209618,9.31715911603445,,,1357,19
40,0.05597764923982765,37.1067673423422,0.09920055355613641,0.09029251951043338,1357,19
41,0.013179632449040617,14.860425977481244,,,1357,19
42,2.7514641783044906,1168.630157637721,4.196267073261499e-05,0.8144429161769311,1357,2506
43,1.8109510025262656,674.8556074560671,-5.9222205667288874e-05,0.6940744282778217,1357,2506
44,147.97327570310134,58532.83920633076,6.884551698465433e-05,0.6893462273522741,1357,2506
45,67.05964280310594,37161.91527391878,7.644107716140797e-05,0.618704602893236,1357,315
46,73.7133968161926,42181.28093843626,0.00020008121090818784,0.29910156543327576,1357,315
47,46.98170914350784,26038.006847764656,-0.00022189763875961606,0.22401862771714764,1357,315
48,18.753244869839275,9709.63225950076,-0.017768868171180317,0.4595902134126718,1357,39
49,0.23303389016119397,129.28380343674078,0.002568601997415477,0.9370216686190589,1357,39
50,0.5404312908217728,313.284978037801,-0.009971999831967412,0.6596386557926683,1357,39
51,15.328874024809238,6938.530900778738,-6.0528332936531724e-05,0.7559129350723075,1357,4999
52,5.689737173476136,2227.855162090734,-0.00011296256688720087,0.5383419922283117,1357,4999
53,117.44002543482068,49267.310438878885,-0.00015175227618981706,0.3133780963417968,1357,4999
54,99.1547631636551,44972.06219344915,5.107095572563336e-05,0.7838804964644084,1357,629
55,5.103587676637626,2337.344417763495,-5.679105341370318e-05,0.7572602843023483,1357,629
56,1.8183621660409208,836.6679582168418,-3.824726876433272e-05,0.8339179834001493,1357,629
57,0.25343518522131675,134.97273994645855,0.004754607499532955,0.2615599333811998,1357,79
58,0.9570378931592037,685.3551009304817,0.0017007398853803412,0.690408270304602,1357,79
59,25.245629114263462,13427.414456866385,0.0029507806974550586,0.5772399774993453,1357,79
60,0.0,0.0,,,1893,10
61,0.0,0.0,,,1893,10
62,0.0,0.0,,,1893,10
63,88.43514762930813,28132.762532972487,-2.212339332296888e-05,0.8931436777868377,1893,1256
64,194.20140009114456,59554.71146723084,-0.0001831370324877036,0.3194296661765107,1893,1256
65,6.548103122685607,2204.110290449889,0.0001236307508890035,0.46338884861513197,1893,1256
66,1.7088280281924721,825.2238827583476,2.268911473883338e-06,0.9908020450566735,1893,158
67,21.08849715087313,9825.62137577096,0.0002732254926083947,0.19157774453170157,1893,158
68,5.88802069329264,2481.8195785016983,-0.00011855425662651004,0.6150673759610442,1893,158
69,0.17176162493649108,113.1909704777888,,,1893,19
