,clustering,path_length,std_clustering,std_path,n_edges,params,type,CUMUL_STD
317,0.19817864900251253,2.8765194805194803,0.011549309388482082,0.01252826791892661,"[2.8736363636363635, 2.8725324675324675, 2.877727272727273, 2.865844155844156, 2.8505844155844158, 2.8747402597402596, 2.8763636363636365, 2.89512987012987, 2.882987012987013, 2.8956493506493506]",176N_0.25V/E,WS,0.23750669086825077
318,0.07185090950715947,2.725798701298701,0.005593211933306162,0.0067735739282282735,"[2.728961038961039, 2.7332467532467533, 2.730909090909091, 2.721038961038961, 2.721753246753247, 2.732077922077922, 2.7295454545454545, 2.7277272727272726, 2.7095454545454545, 2.723181818181818]",176N_0.25V/E,WS,0.10723488411932611
319,0.04241783051692806,2.6926103896103895,0.005565927219463831,0.006631507614157898,"[2.7004545454545457, 2.681038961038961, 2.6963636363636363, 2.6924025974025976, 2.7004545454545457, 2.6981818181818182, 2.6855844155844157, 2.6845454545454546, 2.696818181818182, 2.6902597402597404]",176N_0.25V/E,WS,0.10660874974915967
320,0.5812080627705616,7.782694805194805,0.0032772984275973114,0.4786383512830337,"[7.3621428571428575, 7.1674675324675325, 8.157727272727273, 8.08487012987013, 8.07512987012987, 7.243376623376624, 8.042142857142856, 8.202272727272728, 7.082142857142857, 8.409675324675325]",176N_0.3125V/E,WS,0.17689683203403084
321,0.5746401515151504,7.659298701298701,0.0074983000055128595,0.8351781127481092,"[7.984090909090909, 8.171038961038962, 7.103766233766234, 6.733831168831169, 9.29012987012987, 8.604285714285714, 7.235584415584416, 6.361103896103896, 7.513571428571429, 7.595584415584415]",176N_0.3125V/E,WS,0.3586647425432151
322,0.5548579545454538,6.566772727272728,0.013405539507155763,1.0434139082606493,"[5.946818181818182, 7.6301298701298705, 5.951818181818182, 7.917077922077922, 5.883441558441558, 6.354675324675324, 5.8257792207792205, 6.097532467532467, 5.377987012987013, 8.682467532467532]",176N_0.3125V/E,WS,0.5392646744328286
323,0.5242031926406922,5.248558441558441,0.010646001169357563,0.2147681853040366,"[5.128636363636364, 4.89551948051948, 5.0833766233766235, 5.58077922077922, 5.216233766233766, 5.373961038961039, 5.141298701298702, 5.078311688311688, 5.434155844155844, 5.553311688311688]",176N_0.3125V/E,WS,0.2692945732658912
324,0.47832656926406897,4.492850649350649,0.010708694987939794,0.09904685941134724,"[4.334480519480519, 4.478116883116883, 4.62487012987013, 4.371428571428571, 4.615584415584416, 4.602077922077922, 4.570909090909091, 4.430974025974026, 4.445064935064935, 4.455]",176N_0.3125V/E,WS,0.24128318959390027
325,0.3958193542568543,3.9789350649350643,0.011490646243053229,0.07570098678063245,"[4.078181818181818, 4.013766233766233, 3.957012987012987, 3.922207792207792, 3.9366233766233765, 3.980974025974026, 3.871038961038961, 4.14012987012987, 3.9644805194805195, 3.924935064935065]",176N_0.3125V/E,WS,0.25226968985457954
326,0.3076037157287158,3.6144675324675326,0.01619148896061502,0.05273214902920202,"[3.5813636363636365, 3.593766233766234, 3.513181818181818, 3.5830519480519483, 3.5861688311688313, 3.623961038961039, 3.624090909090909, 3.708181818181818, 3.6714285714285713, 3.6594805194805193]",176N_0.3125V/E,WS,0.3481050050982397
327,0.18355613767545575,3.2979025974025973,0.0172270539056493,0.03876435256154725,"[3.372792207792208, 3.3022727272727272, 3.260779220779221, 3.2785714285714285, 3.342922077922078, 3.335064935064935, 3.281753246753247, 3.241753246753247, 3.2694805194805197, 3.2936363636363635]",176N_0.3125V/E,WS,0.36695628828588495
328,0.05992411944116486,3.111376623376623,0.010327945491854758,0.010801447901794155,"[3.0933766233766233, 3.119805194805195, 3.127922077922078, 3.1044155844155843, 3.119090909090909, 3.1053896103896106, 3.105974025974026, 3.1056493506493505, 3.127207792207792, 3.104935064935065]",176N_0.3125V/E,WS,0.21065425748344369
329,0.028777491447945985,3.068337662337662,0.00487186191490007,0.005719684580621971,"[3.0645454545454545, 3.0664935064935066, 3.060194805194805, 3.0645454545454545, 3.0714935064935065, 3.0784415584415585, 3.07, 3.0617532467532467, 3.0766883116883115, 3.069220779220779]",176N_0.3125V/E,WS,0.09136693076060785
330,0.48388257575757565,14.406870129870128,0.00679311997498136,3.177554233165137,"[18.83681818181818, 15.944675324675325, 10.43603896103896, 12.433051948051949, 16.99779220779221, 11.903311688311689, 11.983181818181817, 20.023506493506492, 11.44025974025974, 14.070064935064934]",176N_0.375V/E,WS,0.9378518968353348
331,0.4767992424242424,12.345610389610389,0.009211343200051103,2.189373598410152,"[16.276103896103898, 11.392402597402597, 12.866038961038962, 13.236818181818181, 11.080454545454545, 10.572857142857142, 9.398181818181818, 10.12422077922078, 15.813051948051948, 12.695974025974026]",176N_0.375V/E,WS,0.739374205547126
332,0.4631818181818182,9.391948051948052,0.010504860805882416,0.9905605359638587,"[8.603636363636364, 8.552012987012986, 11.507792207792209, 8.883506493506493, 9.120909090909091, 10.593376623376624, 8.735779220779222, 10.374935064935064, 8.963311688311688, 8.584220779220779]",176N_0.375V/E,WS,0.4631193413691207
333,0.4391287878787879,7.754987012987014,0.01534960471848616,0.5887545878798196,"[6.771168831168831, 8.363441558441558, 7.948571428571428, 7.968831168831169, 7.022597402597403, 7.261363636363637, 8.16987012987013, 7.256103896103896, 8.277012987012988, 8.510909090909092]",176N_0.375V/E,WS,0.465927158502335
334,0.3979788961038961,6.420642857142857,0.019246535695347282,0.2758137738697971,"[6.816038961038961, 6.164090909090909, 6.043246753246753, 6.50948051948052, 6.103441558441558, 6.547207792207792, 6.872922077922078, 6.307012987012987, 6.586038961038961, 6.256948051948052]",176N_0.375V/E,WS,0.47078860698654923
335,0.3415422077922079,5.444149350649351,0.013791193526674999,0.10380631855025163,"[5.557077922077922, 5.428441558441558, 5.384090909090909, 5.531558441558442, 5.459675324675325, 5.4471428571428575, 5.5604545454545455, 5.5083116883116885, 5.363831168831169, 5.200909090909091]",176N_0.375V/E,WS,0.30915564367428167
336,0.255487012987013,4.792857142857143,0.0165997869281576,0.1026064150241854,"[4.843506493506493, 4.912987012987013, 4.574545454545454, 4.82012987012987, 4.691428571428571, 4.878961038961039, 4.89974025974026, 4.768636363636364, 4.702012987012987, 4.836623376623376]",176N_0.375V/E,WS,0.36959206162695846
