,density,global_order,sum_order,std_sum_order,lcl_order,std_lcl
0,0.1,2271.8231526586683,15.478411278067444,6.017240844306443,4.615711042731676,2.374356550790715
1,0.5,140453.2869229899,286.6236261869817,43.83779495507015,54.27860351487861,32.59261164230861
2,0.6,204681.16309074557,417.5866604201106,66.93147020812609,66.573020843795,58.2443844962911
3,0.4,42903.832779482436,131.11087510358936,32.49568930824007,18.88793420426868,18.723417761315993
4,0.2,5891.276604882968,38.64180491760413,15.085464680447776,6.147191744036555,4.148384994183287
5,1.0,493188.6403739229,993.3637268411,56.77106741612294,231.0940691228015,103.70344452546294
6,0.3,17254.968452443976,68.36650130840273,23.468873312304545,10.564482653160649,7.426220075502519
7,0.7,276796.2248094947,558.4613541178263,45.924565619836414,53.57022767187165,45.78536982925395
8,0.9,407080.8927830777,831.1297313217207,106.26366110093834,195.3004133642471,112.12730061237347
9,0.8,347978.5496969686,699.6179054492178,63.069747876635724,170.39886333622488,148.41048097897914
