,dens,cell_id,speed,persist
0,0.1,0,5.2587724915172265,4.670415204508268
1,0.1,1,5.326439103251875,4.32377793815783
2,0.1,2,5.302018447555973,4.382420083300347
3,0.1,3,5.282589841741797,4.798084837784246
4,0.1,4,5.283735129613191,5.171740998557629
5,0.1,5,5.284556742788052,4.4731581837804075
6,0.1,6,5.314690368478562,4.777114698896272
7,0.1,7,5.290009978315748,5.498598960692427
8,0.1,8,5.345031225506232,4.376785332257882
9,0.1,9,5.273045987078899,3.903586130380886
10,0.1,10,5.2947665885148245,4.543643277063404
11,0.1,11,5.2723503838503705,4.839284862137477
12,0.1,12,5.272801256413845,4.88589144937397
13,0.1,13,5.29136555873241,4.432388359537187
14,0.1,14,5.303527614654806,4.358576000975704
15,0.1,15,5.307941560054879,4.707248764113224
16,0.1,16,5.264030200223876,4.307718214550522
17,0.1,17,5.34583736997137,3.8509420237012124
18,0.1,18,5.286928144418386,4.439714137472494
19,0.1,19,5.284563530203692,4.233713037671004
20,0.1,20,5.299472392240463,4.146500046405233
21,0.5,0,5.104242241490502,100.0
22,0.5,1,5.130085918597552,100.0
23,0.5,2,5.143265666315158,100.0
24,0.5,3,5.117068119138856,73.64843668798288
25,0.5,4,5.14666845976119,100.0
26,0.5,5,5.194314990858681,100.0
27,0.5,6,5.12346134709382,100.0
28,0.5,7,5.1530495088364345,100.0
29,0.5,8,5.157124411880331,100.0
30,0.5,9,5.133315640557789,100.0
31,0.5,10,5.153888089416067,100.0
32,0.5,11,5.063945673006205,51.618012499527005
33,0.5,12,5.133040612114698,100.0
34,0.5,13,5.1087686574076585,100.0
35,0.5,14,5.128310986744059,100.0
36,0.5,15,5.152405423505214,100.0
37,0.5,16,5.1682019123150456,100.0
38,0.5,17,5.136798849261942,100.0
39,0.5,18,5.215950880951309,100.0
40,0.5,19,5.1392635745641035,100.0
41,0.5,20,5.15612586018988,100.0
42,0.5,21,5.117135935794019,100.0
43,0.5,22,5.11619372009979,100.0
44,0.5,23,5.13883608289141,100.0
45,0.5,24,5.133052428193306,100.0
46,0.5,25,5.09561535235169,100.0
47,0.5,26,5.16536738327458,100.0
48,0.5,27,5.097369352313021,41.392965579591355
49,0.5,28,5.139396357849271,100.0
50,0.5,29,5.1103382794003345,100.0
51,0.5,30,5.135247878211129,100.0
52,0.5,31,5.16008984982825,100.0
53,0.5,32,5.204873000590408,100.0
54,0.5,33,5.125796623169517,100.0
55,0.5,34,5.099576613789787,100.0
56,0.5,35,5.109090022140936,100.0
57,0.5,36,5.091630940994501,100.0
58,0.5,37,5.116944541146219,33.26426795792776
59,0.5,38,5.129611193807682,100.0
60,0.5,39,5.183444651176063,100.0
61,0.5,40,5.161083083942066,100.0
62,0.5,41,5.110297731561853,100.0
63,0.5,42,5.126952915374039,81.59476921635391
64,0.5,43,5.138759955672981,100.0
65,0.5,44,5.136949134429597,100.0
66,0.5,45,5.151191844518838,100.0
67,0.5,46,5.119231374541238,100.0
68,0.5,47,5.146074497024529,100.0
69,0.5,48,5.141759062143354,87.08037898546148
70,0.5,49,5.14391741529945,42.495441686635814
71,0.5,50,5.1323846113954295,100.0
72,0.5,51,5.13843070078125,100.0
73,0.5,52,5.146596400988675,100.0
74,0.5,53,5.102977884605757,100.0
75,0.5,54,5.144347632689635,100.0
76,0.5,55,5.093453404317756,88.23856082131955
77,0.5,56,5.1335113820272475,100.0
78,0.5,57,5.085435569991323,100.0
79,0.5,58,5.124973493768527,100.0
80,0.5,59,5.139670056580809,100.0
81,0.5,60,5.108516371602752,100.0
82,0.5,61,5.220205913874435,100.0
83,0.5,62,5.170830534006502,100.0
84,0.5,63,5.149854488736774,100.0
85,0.5,64,5.15634884347115,100.0
86,0.5,65,5.07097664700868,100.0
87,0.5,66,5.089932424720954,100.0
88,0.5,67,5.118484274898289,69.37132657020635
89,0.5,68,5.202465611935205,100.0
90,0.5,69,5.16536938235924,47.7761056933872
91,0.5,70,5.1452803341744024,76.4830003666418
92,0.5,71,5.1112280507228505,100.0
93,0.5,72,5.111927621596224,100.0
94,0.5,73,5.133578970030345,100.0
95,0.5,74,5.167379762065861,45.81660194944848
96,0.5,75,5.152560205104115,100.0
97,0.5,76,5.165219834720199,100.0
98,0.5,77,5.113408514970888,100.0
99,0.5,78,5.124003253420236,25.02725097721043
100,0.5,79,5.12331724292964,38.18031323048246
101,0.5,80,5.156540127440808,100.0
102,0.5,81,5.184738204028567,100.0
103,0.5,82,5.184744991621115,100.0
104,0.5,83,5.100818716759445,93.958951443411
105,0.5,84,5.144890794638592,59.05067706350244
106,0.5,85,5.114186405056796,100.0
107,0.5,86,5.162865594591394,100.0
108,0.5,87,5.119830917114553,100.0
109,0.5,88,5.142717239534968,100.0
110,0.5,89,5.090269270017346,100.0
111,0.5,90,5.122338038856885,94.2678994281969
112,0.5,91,5.114553437056384,100.0
113,0.5,92,5.120507131815781,100.0
114,0.5,93,5.132541399866653,100.0
115,0.5,94,5.17490892075636,74.6861669676709
116,0.5,95,5.091024677766153,100.0
117,0.5,96,5.106387658610703,100.0
118,0.5,97,5.129594661697104,86.10106446547825
119,0.5,98,5.13648577813193,100.0
120,0.5,99,5.144692627819516,100.0
121,0.5,100,5.127670949488999,100.0
122,0.5,101,5.096540880306783,100.0
123,0.5,102,5.1629053144508985,64.45520273441991
124,0.5,103,5.079325475409062,100.0
125,0.5,104,5.100840354152124,100.0
126,0.5,105,5.195105241742879,23.67160493469492
127,0.5,106,5.13349345393306,100.0
128,0.5,107,5.120100243904309,100.0
129,0.5,108,5.115954152296392,100.0
