,density,pooled_persist,global_order,sum_order,std_sum_order,lcl_order,std_lcl
0,0.1,4.509131815266832,1453.6180784295036,26.555913139028444,9.982284900704318,3.5847630399481822,1.226315132194299
1,0.5,100.0,205038.961314348,427.63953600967017,69.39342642089987,4.376835166720564,0.68179719581799
2,0.6,100.0,277181.0832549526,563.4146259906296,43.97329194026912,4.5316958583993046,0.4779373818700353
3,0.4,5.301372458211299,119367.00565726451,286.0667966241579,42.41768992033432,4.084320048524808,0.9003373370444583
4,0.2,3.6582349041583306,6897.864988547709,48.86417707806349,18.36954255676111,3.503242332300039,1.2318747571254944
5,1.0,100.0,455886.6665133517,915.2412347857186,78.64502139246105,4.233558558625595,0.3084604204594242
6,0.3,3.6059173104187088,49744.70548176009,145.3280427955501,35.934776675920084,3.6959828932628183,1.1118274892928466
7,0.7,100.0,328821.48765245546,669.3409338975426,66.33397804787963,4.550049243717554,0.4396653105586187
8,0.9,100.0,417377.64708736184,849.5894780510646,108.52107887882197,4.4144937457253395,0.381168904062883
9,0.8,100.0,381380.15973477316,769.5027710104155,89.45496055911062,4.517645405913727,0.4238439419426699
